Chemical,SMILES,Identificador,Results,Type
"(-)-EPIGALLOCATECHIN GALLATE (85% (-)-EPIGALLOCATECHIN GALLATE, 10% (-)-EPIGALLOCATECHIN, 5% (-)-EPICATECHIN GALLATE)",C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,989-51-5,Negative,In vivo
"(+-)-(4)-(2-CHLOROPHENYL)-2-[2-(4-ISOBUTYLPHENYL)ETHYL]-6,9-DIMETHYL-6H-THIENO[3,2-f][1,2,4]TRIAZOLO[4,3-a][1,4]DIAZEPINE",CC1C2=NN=C(N2C3=C(C=C(S3)CCC4=CC=C(C=C4)CC(C)C)C(=N1)C5=CC=CC=C5Cl)C,117279-73-9,Negative,In vivo
"(+-)-7-(3,5,6-TRIMETHYL-1,4-BENZOQUINON-2-YL)-7-PHENYLHEPTANOIC ACID",CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,112665-43-7,Negative,In vivo
(1-methyl-5-nitroimidazol-2-yl)methyl carbamate,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],7681-76-7,Negative,in vivo
(1-methyl-5-nitroimidazol-2-yl)methyl carbamate,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],7681-76-7,Positive,in vitro
"(1-methylindol-3-yl)-[(5R)-4,5,6,7-tetrahydro-3H-benzimidazol-5-yl]methanone;hydrochloride",CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,107999,Negative,In Vivo
(1-methylpyrrol-2-yl)methanol,CN1C=CC=C1CO,52160-51-7,Positive,in vitro
(1-methylpyrrol-3-yl)methanol,CN1C=CC(=C1)CO,68384-83-8,Positive,in vitro
"(10R,11R)-10,11-dihydrobenzo[a]anthracene-10,11-diol",C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)[C@H]([C@@H](C=C4)O)O,,Positive,in vitro
"(10S,11S)-10,11-dihydrobenzo[b]triphenylene-10,11-diol",C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2C=C5C=C[C@@H]([C@H](C5=C4)O)O,,Positive,in vitro
"(10S,11S)-10,11-dihydronaphtho[1,2-b]quinoline-10,11-diol",C1=CC=C2C(=C1)C=CC3=CC4=C([C@@H]([C@H](C=C4)O)O)N=C32,56842959,Positive,In Vivo
"(11R,12R)-11,12-dihydrobenzo[a]pyrene-11,12-diol",C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2[C@H]([C@@H](C5=CC=C4)O)O,60657-27-4,Positive,in vitro
"(11S,12R)-11,12-dihydrobenzo[a]pyrene-11,12-diol",C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2[C@@H]([C@@H](C5=CC=C4)O)O,64283-13-2,Negative,in vitro
"(11S,12R)-3-methyl-1,2,11,12-tetrahydrobenzo[j]aceanthrylene-11,12-diol",CC1=C2CCC3=C2C(=CC4=C3[C@H]([C@H](C5=CC=CC=C54)O)O)C=C1,,Positive,in vitro
"(11S,12S)-3-methyl-1,2,11,12-tetrahydrobenzo[j]aceanthrylene-11,12-diol",CC1=C2CCC3=C2C(=CC4=C3[C@@H]([C@H](C5=CC=CC=C54)O)O)C=C1,,Negative,in vitro
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Positive,In Vivo
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,568-75-2,Positive,in vivo
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,11285,Negative,In Vivo
(12-methylbenzo[a]anthracen-7-yl)methanol,CC1=C2C(=C(C3=CC=CC=C13)CO)C=CC4=CC=CC=C42,568-75-2,Negative,in vitro
"(17R,19S)-18-oxahexacyclo[10.7.2.02,7.09,20.016,21.017,19]henicosa-1(20),2,4,6,8,10,12(21),13,15-nonaene",C1=CC=C2C(=C1)C=C3C=CC4=C5C3=C2[C@H]6[C@@H](C5=CC=C4)O6,,Positive,in vitro
"(17S,18S)-pentacyclo[10.7.1.02,11.03,8.016,20]icosa-1(19),2(11),3,5,7,9,12(20),13,15-nonaene-17,18-diol",C1=CC=C2C(=C1)C=CC3=C2C4=C[C@@H]([C@H](C5=CC=CC3=C54)O)O,163759,Positive,In Vivo
