Chemical,SMILES,Identificador,Results,Type,Species,Strain,Male,Female
"(-)-EPIGALLOCATECHIN GALLATE (85% (-)-EPIGALLOCATECHIN GALLATE, 10% (-)-EPIGALLOCATECHIN, 5% (-)-EPICATECHIN GALLATE)",C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,989-51-5,Negative,In vivo,mouse,cen,Sim,Não
"(+-)-(4)-(2-CHLOROPHENYL)-2-[2-(4-ISOBUTYLPHENYL)ETHYL]-6,9-DIMETHYL-6H-THIENO[3,2-f][1,2,4]TRIAZOLO[4,3-a][1,4]DIAZEPINE",CC1C2=NN=C(N2C3=C(C=C(S3)CCC4=CC=C(C=C4)CC(C)C)C(=N1)C5=CC=CC=C5Cl)C,117279-73-9,Negative,In vivo,Rat,sdj,Não,Sim
"(+-)-(4)-(2-CHLOROPHENYL)-2-[2-(4-ISOBUTYLPHENYL)ETHYL]-6,9-DIMETHYL-6H-THIENO[3,2-f][1,2,4]TRIAZOLO[4,3-a][1,4]DIAZEPINE",CC1C2=NN=C(N2C3=C(C=C(S3)CCC4=CC=C(C=C4)CC(C)C)C(=N1)C5=CC=CC=C5Cl)C,117279-73-9,Negative,In vivo,Rat,sdj,Sim,Não
"(+-)-7-(3,5,6-TRIMETHYL-1,4-BENZOQUINON-2-YL)-7-PHENYLHEPTANOIC ACID",CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,112665-43-7,Negative,In vivo,Rat,f3j,Não,Sim
"(+-)-7-(3,5,6-TRIMETHYL-1,4-BENZOQUINON-2-YL)-7-PHENYLHEPTANOIC ACID",CC1=C(C(=O)C(=C(C1=O)C)C(CCCCCC(=O)O)C2=CC=CC=C2)C,112665-43-7,Negative,In vivo,Rat,f3j,Sim,Não
(1-methyl-5-nitroimidazol-2-yl)methyl carbamate,CN1C(=CN=C1COC(=O)N)[N+](=O)[O-],7681-76-7,Negative,in vivo,Rodents,Não definido,Sim,Não
"(1-methylindol-3-yl)-[(5R)-4,5,6,7-tetrahydro-3H-benzimidazol-5-yl]methanone;hydrochloride",CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,107999,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"(1-methylindol-3-yl)-[(5R)-4,5,6,7-tetrahydro-3H-benzimidazol-5-yl]methanone;hydrochloride",CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,107999,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"(1-methylindol-3-yl)-[(5R)-4,5,6,7-tetrahydro-3H-benzimidazol-5-yl]methanone;hydrochloride",CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,107999,Negative,In Vivo,RAT,F344,sim,sim
"(1-methylindol-3-yl)-[(5R)-4,5,6,7-tetrahydro-3H-benzimidazol-5-yl]methanone;hydrochloride",CN1C=C(C2=CC=CC=C21)C(=O)[C@@H]3CCC4=C(C3)NC=N4.Cl,107999,Negative,In Vivo,RAT,F344,sim,Não
