Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
,,,,,,, (-S9),(+S9),Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (-S9),(+S9), Overall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IARC,CPDB,[other],,,,,,,,,,,,,
Acetochlor,34256-82-1,0,34256-82-1,2,»,»,,,,,,+,,,,,,,,+,,,,,+ Tk;  E Hprt,,,,,,,,+,,,,,,,,,,,,,,,,,,+,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,-,,,,,,,,-,,,,+,,,,,,,,+,,,,,,,,,,,-,,,,-,1,2,,,,,,,+,,,,,,,,+,,
4-Acetylaminofluorene,28322-02-3,0,28322-02-3,2,»,»,,,,+,,,,,,,,,,+,,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,-,,,,,,,,,,-,0,2,,,,,,,,,,,,,,,-,,,,,,,,,,-,,E,,,,,,,,,,E,+,,,,,,+,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
N-Acetoxy-2-acetylaminofluorene,6098-44-8,0,6098-44-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1'-Acetoxysafrole,34627-78-6,0,34627-78-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
2-Acetylaminofluorene,53-96-3,0,53-96-3,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,+,,,,,,+,+,,,,,,,+,5,0,,,,,+,,,,,,,,,,+,,
1-Acetyl-2-phenylhydrazine,114-83-0,0,114-83-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Acid blue 9,2650-18-2,0,2650-18-2,2,»,»,,,,+R,,,,,,,,,,+,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,weak+,,,,,,,,,,weak +,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Acranyl dihydrochloride,1684-42-0,0,1684-42-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,+,,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Acrolein,107-02-8,0,107-02-8,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,-,,,,,,,,,,-,,
