PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species/Cell Type,Sex,Assay Type,Assay Code,Results,Activation,Dose Response,Panel Report,Reference,Evaluation Type
RESULT_TYPE,,,,,,,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
1,363894737,,,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
2,363894738,,,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
3,363894739,,,Active,,,,Mouse lymphoma (L5178Y) cells,,Forward gene mutation at the thymidine kinase (TK) locus; chromosome aberrations,L51+*,Positive,With metabolic activation,,"EMICBACK/50691; MUTAT RES 115:225-251,1983","EMICBACK/31144; MUTAT RES 59:61-108,1979",Evaluation A (Pre-1980)
4,363894740,,,Inactive,,,,Mouse,Female,"Spot test, gene mutation",MST-,Negative,,,"EMICBACK/41536; MUTAT RES 86:355-379,1981","EMICBACK/31729; REPORT EPA REPORT,18PP,1978",Evaluation A (Pre-1980)
5,363894740,,,Active,,,,Mouse,Male,"Specific locus test, gene mutation",SLT+,Positive,,,"EMICBACK/41535; MUTAT RES 86:329-354,1981","EMICBACK/31729; REPORT EPA REPORT,18PP,1978",Evaluation A (Pre-1980)
6,363894741,,,Active,,,,Zea mays (corn),,Gene mutation,ZEM+,Positive,,,"EMICBACK/48096; MUTAT RES 99:317-337,1982",,Evaluation A (Pre-1980)
7,363894742,148318,C1CN2CC=C([C@@H]2[C@@H]1OC(=O)C3=CC4=C(C=C3)OCO4)COC(=O)C5=CC6=C(C=C5)OCO6,Active,,,,Allium cepa,,Chromosome aberrations,ALC+,Positive,,,"EMICBACK/48093; MUTAT RES 99:273-291,1982",,Evaluation A (Pre-1980)
8,363894743,,,Active,,,,Glycine max (soybean),,Gene mutation,GLM+,Positive,,,"EMICBACK/48097; MUTAT RES 99:339-347,1982",,Evaluation A (Pre-1980)
9,363894744,,,Active,,,,Human cell culture,,Chromosome aberrations in vitro,CYZ+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
10,363894745,,,Active,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC+,Positive,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
11,363894746,,,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
12,363894746,,,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
13,363894746,,,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
