modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
RandomForest,50,3,20,1,1,0.6734410197969948,0.02213523618154681,0.6913541485521824,0.021524602603672494,0.653748540683214,0.04732642237587865,0.6711001171567034,0.029212164198228124,0.7285650700402089,0.01813388740007464,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.6721662735536533,0.027325229888710702,0.6938920510974226,0.0321723008278675,0.6447033145525609,0.038015238909258425,0.6676622034690669,0.028254875686953458,0.7352678445008516,0.019939473328223017,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,3,20,1,1,0.7195187236636367,0.014804777789770839,0.74053482853344,0.024009370215790114,0.6970432972945535,0.0228358436497399,0.7176114685886397,0.01337249461146004,0.787204358670902,0.012990957578230869,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.7236358095036175,0.013220085847297102,0.7460399592934223,0.021042954961990323,0.6985457590985228,0.03202809989905859,0.7207834828125657,0.01596240364575856,0.7902683788044804,0.014382680164279585,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7058701931995867,0.018327372018023494,0.7242360517011145,0.01994517504016049,0.6869346733668341,0.03910618533688338,0.7044145956572659,0.023309295745279162,0.7844050694473863,0.018164824138943284,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7272433943762755,0.017220383010332237,0.7417156765345922,0.021461783693603482,0.7171539515760621,0.0306176935916138,0.7287219552333193,0.018831120086206934,0.7986953933740498,0.015615696064185539,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.732903559218721,0.01591458813283289,0.7442136349034799,0.01879287946606415,0.72873711994315,0.02898508051188444,0.7359821172373522,0.017610639770975944,0.8079836955339467,0.016335246710326937,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7326458272599582,0.015911432831906974,0.7463042664467541,0.02513857555065885,0.7252144561189787,0.029401423742546083,0.7349229751674047,0.015933706591103183,0.8156989534264063,0.015511317270018815,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7372770519174198,0.01559721504144612,0.7479829390271844,0.022158159520928637,0.7347698086391553,0.023853376911641088,0.7408974576544185,0.015042487612217829,0.82151083097063,0.01605772871124022,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7455118861474042,0.01646468138831069,0.76121049197495,0.02501642663021299,0.7337723973402365,0.0203598100013141,0.7468052294782582,0.014264388976500012,0.8217560225878131,0.016396781942617344,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7442172634033869,0.014678240563229215,0.7603395557674747,0.017926117719995208,0.730726866656515,0.029452271164518585,0.7447921058939784,0.01671654232410927,0.8204570913477287,0.01510370002555184,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7429365542098428,0.017998035070991986,0.754264284649344,0.02043402382776397,0.7382823206943809,0.02531048655156129,0.7459167988563904,0.01829544296188078,0.8204055797073517,0.015645284175939907,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7406176291309994,0.016480647131123533,0.7555239489491431,0.019673543416143364,0.7292294807370185,0.02441642744655889,0.741851176974637,0.016905056756109444,0.8199814189552356,0.016588308284318107,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,3,20,1,1,0.6641673071316885,0.023827436607937142,0.6689480372719225,0.025927666020617735,0.6809146743820111,0.021572225952633212,0.6747130761236159,0.02147459959063434,0.7208846840465459,0.021883368993867818,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.669315320806721,0.02490031216078439,0.6803948860307544,0.025385186047130876,0.6668062534896706,0.03736294094259435,0.6731262187910118,0.027338059726147345,0.7254960366756188,0.021446732747405543,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,3,20,1,1,0.6981528105371957,0.02572422253211306,0.7322530839216472,0.03857592266241114,0.6492132379067053,0.014578679168617471,0.6877977816771434,0.02100824399748561,0.7672912291260612,0.018868065931736035,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6999476585482205,0.014863263695766385,0.7421900553078136,0.021445619106446878,0.6341150195421552,0.022016947162118185,0.6835765536677318,0.01625249286783448,0.77222007864695,0.017133802546710177,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.6737133278562533,0.023126540906918375,0.6886874254649455,0.02731209226314986,0.6633394243947007,0.04224273600240579,0.6747805463055423,0.025946131778009553,0.7398764756798346,0.01795768472608984,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.6760190019346461,0.023294010814739023,0.694202896264097,0.02409424003589152,0.6557763565301254,0.03867159858059904,0.673878726033686,0.026705986457540746,0.7422952020551861,0.018079915910947465,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.7171997985847931,0.015146699856870116,0.7327104148742718,0.016575378822316397,0.7045835236790012,0.03621205140676942,0.7177305165981667,0.020119947301594644,0.7880163271739575,0.013764929963577564,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.7218257228420746,0.010223176990777544,0.7408621274961239,0.013417760851575892,0.7020481193848027,0.027125900021844368,0.7205144744520011,0.013973961580857137,0.7919414402586844,0.016365106245359133,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7192444279543107,0.017616879427347697,0.7363598976823587,0.02242336878663657,0.7040530937515861,0.034057958276384755,0.7191850107367677,0.019832934282677166,0.787338353433963,0.01333231209458854,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7292886862958154,0.017721612012195975,0.7409102944835773,0.021043686502394014,0.7246967159027461,0.02935495997222605,0.7322952477317013,0.018817962831542315,0.8028252818229016,0.01352763482964229,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7331546656772587,0.02033093128009021,0.7440604696195987,0.021900992932290867,0.7297243794731232,0.03741315826723788,0.7362634073458928,0.023512353852566382,0.8118697860075802,0.01635299464062748,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7452481912384386,0.011651634836000593,0.7629316869216777,0.01737143254241391,0.7292294807370184,0.029393627979515304,0.7451669181921445,0.01425837079481715,0.8183564371947074,0.018589744541882437,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7452568043887313,0.017500074216176147,0.7611762773992903,0.017874745495267456,0.7317826506268718,0.031174072612362026,0.7458152069608917,0.019994965648253208,0.822217688592325,0.01753589447892652,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7460346381151777,0.020725441643476554,0.7599457379640879,0.023285120476565918,0.7368153900817217,0.03206961123193316,0.7477435693695199,0.021983415912626977,0.8204941914198723,0.01944398095608677,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7452501788885061,0.016974349633509363,0.7554110282817492,0.01858026697068662,0.7428353890665449,0.03293701657856267,0.7485993162070178,0.019983249725351905,0.8226435673850381,0.018281178846944406,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7519459094161609,0.022105278291815276,0.7632656035076988,0.02442490128068192,0.7473656159585808,0.03325812518659686,0.7547840745497536,0.02351323853290551,0.8257529075976576,0.02094136191895046,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7468051837913762,0.023100942629193058,0.7614344771380902,0.026437170143786055,0.7363078016344348,0.03073031177184907,0.7482561693192383,0.023570698899419644,0.8240941028272422,0.02124985525810431,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,5,20,1,1,0.6682837304216468,0.025009745178430007,0.6814166700440093,0.03257911711049719,0.6637886401705498,0.033169769441811686,0.6716843171675728,0.023206986007199972,0.724282971209049,0.02308010687073342,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,5,20,1,1,0.6744646595817984,0.024046349960010045,0.6903931113441134,0.025467558641259234,0.6597634637835643,0.039133322971430504,0.6741692498653387,0.027156257969592187,0.7284026016643049,0.023267236448909302,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,5,20,1,1,0.7056157739909363,0.021051391321289376,0.7407692034817092,0.028325634572208314,0.654763717577788,0.03453501389497115,0.6943589054886447,0.023411453135528216,0.7718654807288766,0.019933982935842344,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,5,20,1,1,0.7092200461134817,0.0214651550946432,0.7506037827441514,0.02850912602225858,0.6477158519872088,0.035901609325723303,0.6946130668727672,0.025022335029190573,0.7744882000951824,0.01924408881761817,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,128,3,20,1,1,0.6677788673044815,0.01711220386877501,0.7038237646651919,0.02041518893152472,0.6059159433531293,0.037743071859218366,0.650471043536539,0.023670441095539875,0.7284077437006556,0.019059553443433214,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,128,3,20,1,1,0.6783299764132191,0.022788804222229987,0.7168607755695234,0.024430505257311864,0.6134764732754683,0.040946047888472906,0.6605064054123406,0.029392904682013454,0.7359833638840516,0.01969277700823439,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,128,3,20,1,1,0.7166783717170647,0.015179153771328033,0.7494729486434065,0.01653658759956922,0.6703542967362062,0.03457319028572323,0.7071651408183934,0.020809477979158417,0.7820924471856765,0.013414728046993608,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,128,3,20,1,1,0.7233694643945617,0.01841495117824296,0.7578475899154288,0.02550632445038582,0.6758793969849246,0.033101595536580646,0.713899437838689,0.021687957047203207,0.7861589239710106,0.017211592022548655,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7115343333421673,0.016636390701526362,0.7317460670306506,0.02052896111753469,0.6894700776610325,0.034707486595812215,0.7093390938368669,0.02018584449445256,0.7835256253928563,0.017014194067073482,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,128,3,20,1,1,0.7285201282696845,0.014964874373220933,0.7446135602686447,0.019479250244662735,0.7151439013248059,0.028930378486624806,0.7290988940547629,0.016800713287801076,0.7984738691813539,0.01635538126688371,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7357273474147299,0.013428241730745761,0.7508812209450522,0.017004219644760732,0.7242043551088776,0.03147177815804641,0.7367538996149864,0.01637302498684461,0.8097672974121004,0.020116456805920904,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,128,3,20,1,1,0.7359850793734927,0.018325381244486724,0.7528897198049379,0.024997297496670953,0.7221841530886757,0.03872389777640265,0.7363134953753836,0.021275682963841733,0.811707440076258,0.01836523242994098,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,128,3,20,1,1,0.7359870670235603,0.014167846429024205,0.7496357297123427,0.02105711988126005,0.7277295568752856,0.024147431427201303,0.7380810224660619,0.013923668068973202,0.8160333428999126,0.018025672735174667,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7416578326663663,0.020594644078276814,0.7543220459002442,0.028451949373604467,0.7357849855337293,0.01893603994517532,0.7445663476700652,0.01750421287666738,0.8186905203977407,0.019090580939918892,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,128,3,20,1,1,0.7349528264383961,0.01322201081499891,0.750385249006458,0.019294634603696462,0.7231866402720674,0.026744020763792,0.7360410917573909,0.013922447408785022,0.8133013094637003,0.015505734751987615,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,128,3,20,1,1,0.7364965679908833,0.01774822954679674,0.7489780965055133,0.024993804743098574,0.730721790772042,0.024461706985948475,0.7392908614341787,0.01680621339857115,0.8165811831746771,0.017895397935795494,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7364978930909284,0.017611471563427617,0.7493993285807576,0.023946006392406034,0.7297218415308867,0.01989670719319202,0.739092030225759,0.015599789717969409,0.8176324255641896,0.018107918190900792,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,128,3,20,1,1,0.6737027270558926,0.02539165631309097,0.6648609002544148,0.02482752521130548,0.7312572965839298,0.028836023297359712,0.6962069119666552,0.02277072415569033,0.730675190272519,0.018953587426497002,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,128,3,20,1,1,0.6736961015556675,0.02292151934374215,0.6744055670021978,0.024410422504897746,0.7015430688797524,0.03544352015298209,0.6871561989019886,0.023252310891984714,0.7358103741791919,0.01916444594271911,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,128,3,20,1,1,0.7071522274931759,0.018497011071527385,0.7401776474967426,0.02235185696048074,0.6592761788741689,0.03335922057198475,0.6968665836012617,0.02224015851838677,0.7719970558597906,0.013874502085397302,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,128,3,20,1,1,0.7053507539819257,0.017494219512759687,0.7463414366713685,0.02264795317439651,0.6431805492107,0.03351561431470694,0.6902965620030138,0.02145342425220728,0.7742643176516489,0.013354751453229423,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,128,5,20,1,1,0.6739584713645881,0.014020662928471449,0.6967353575502215,0.016048423443535634,0.6426831125323588,0.03249754117876694,0.6680567970567493,0.019099909662526657,0.734712271453213,0.016134992883949238,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,128,5,20,1,1,0.6796259242572815,0.0171457480010648,0.7059592604397833,0.01897096746604168,0.6406806761078119,0.028599108028953164,0.6713815689958655,0.02010919300780058,0.741241983060285,0.016360630558791736,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,128,5,20,1,1,0.717443616993083,0.010933263801370018,0.7404386914983841,0.02106945492287469,0.6909826912339476,0.026712708180110945,0.7142143282632933,0.011617590211162416,0.7832442582396298,0.00955514694570144,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,128,5,20,1,1,0.7171911854345003,0.010404013299439742,0.7436350866768853,0.01657411576726192,0.6834348510227908,0.0299256044257447,0.7116518870187656,0.014644353430266169,0.7871154575439158,0.011585996413302914,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,128,5,20,1,1,0.720793469906978,0.009114433531343393,0.7412630258874179,0.013934669492129194,0.6985356073295772,0.02930106147519152,0.7187203992119499,0.013421933645826124,0.7881169699412227,0.014744280796758607,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,128,5,20,1,1,0.7380396469933481,0.014159245775290043,0.7528306341658677,0.02119393620182784,0.7277168671641034,0.02760232945096557,0.7395091535286586,0.01497466805691051,0.8036680176279489,0.014480891201718759,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,128,5,20,1,1,0.7370153446585217,0.02218884809091451,0.7525157274598675,0.029777690664473975,0.7262067915334247,0.036838829105580194,0.7382781084473221,0.023233824329788155,0.8115820879924293,0.018560648384984654,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,128,5,20,1,1,0.7434427424270532,0.01879605931763108,0.7574981073319755,0.02208938766947828,0.7342495304806862,0.03674565160181171,0.7450209107891246,0.021479060803700347,0.8144527639971967,0.01738639842581866,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,128,5,20,1,1,0.7416492195160734,0.01820331395656847,0.7568475373883301,0.02344311245825679,0.7302319679204101,0.02804711922107845,0.7428622239426879,0.01875438240268695,0.8202902963845835,0.017116156478368554,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,128,5,20,1,1,0.7501470861050009,0.0239108297696662,0.7686043919862185,0.029232925484479973,0.7327546825034262,0.020267565590455776,0.7500722439597124,0.022100712712684097,0.8228383490450405,0.018587190316512132,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,128,5,20,1,1,0.7452508414385286,0.018389917930650042,0.7634987894284724,0.027462634818720796,0.7292294807370185,0.0295519708271689,0.7453046288405922,0.01806366482636638,0.8237096392445507,0.01674897960352177,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,128,5,20,1,1,0.7442291893037924,0.02295107572008097,0.7603497927381656,0.028576339270348562,0.7312623724684026,0.023494924828195672,0.7452136057800834,0.021519483008828128,0.826787869628388,0.019585354880703145,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,128,5,20,1,1,0.7457709432062121,0.02097723775221857,0.7648976969082888,0.025003004834773464,0.7267372214608395,0.019676230779158352,0.745177625466493,0.019824022732346833,0.8237891413982394,0.021714162396594874,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,128,5,20,1,1,0.6708716508096362,0.022892308109627092,0.6661366505172499,0.02826511644329481,0.7191690777117914,0.033441616610951075,0.6908015446709566,0.019151888755711024,0.7309048896287722,0.018772010102683236,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,128,5,20,1,1,0.6718926403943497,0.0243473538364141,0.6664802672647323,0.0250305558310066,0.7191589259428456,0.029487813501578027,0.691464749006075,0.022158911832220834,0.7361545725768154,0.018639573025362708,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,128,5,20,1,1,0.7094665147218616,0.022759121147408783,0.73973662394231,0.02467989005847633,0.66681386731638,0.036450226102525525,0.7009006578327279,0.026159189369934662,0.7702905412737469,0.015773712735225917,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,128,5,20,1,1,0.7063796941669096,0.020439848177963876,0.7441607635537272,0.026132870255256624,0.6502182630323334,0.031748114389091184,0.6934733736335338,0.022430695996473217,0.7729156452880336,0.017644271882303435,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,160,3,20,1,1,0.6693265841571039,0.02390887705512063,0.6897141184983239,0.024235558644541466,0.6431907009796458,0.044591071633971725,0.6648437105100686,0.02989242204446442,0.7353369884790142,0.023610276578312158,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,160,3,20,1,1,0.6693338722073517,0.018180781986860406,0.6935489993137163,0.020898699656705506,0.6346454494695701,0.03778566279556834,0.6620248490523105,0.02306650864617883,0.7378963985899982,0.02130331554938723,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,160,3,20,1,1,0.7148782233058596,0.016633048529731884,0.7391072626579301,0.022257990953563456,0.6854550530429927,0.032510740982262705,0.7106009502291888,0.01910258653071329,0.7856430156529335,0.017238509551609063,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,160,3,20,1,1,0.7184831579784274,0.015200395386530518,0.7443457407595296,0.02391178782765252,0.6864550022841479,0.02365917628005751,0.7137184596244874,0.014530367445333302,0.7861116692675804,0.01699068616144905,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,160,3,20,1,1,0.720545676198553,0.015509028102141756,0.7353224139044967,0.020051708260648223,0.710128927465611,0.03615280186726538,0.7217626873272581,0.019654102396910463,0.789082012617453,0.01702560953422032,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,160,3,20,1,1,0.7347043701799485,0.018806900186933116,0.74938431916975,0.021997190602345243,0.7242195827622964,0.0347744434093551,0.7359822391731293,0.021482816746215074,0.8023665204582953,0.01927762305414218,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,160,3,20,1,1,0.7334210107863144,0.020091455561350672,0.7444799715056137,0.028240583816378607,0.7312674483528754,0.030882142080544527,0.7371316346094187,0.01955694170524309,0.8109066114858232,0.019479211703434477,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,160,3,20,1,1,0.7460240373148173,0.018126810779858327,0.7640874330474109,0.025695626608035448,0.7297497588954875,0.025067732758201868,0.7460615694521018,0.017564845057571526,0.8201434846951905,0.019280499237284702,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,160,3,20,1,1,0.7488630641613442,0.024499493248849112,0.7644469226890143,0.02908401781460299,0.7368052383127761,0.025669064957387105,0.7500682465501006,0.023199759195646937,0.8250247586124339,0.020046411141151518,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,160,3,20,1,1,0.7444869212625553,0.02143066761993238,0.7597084413699714,0.023329291211388752,0.7322673975940309,0.025721364809459257,0.7455381564865661,0.021670009849603596,0.8227355951423659,0.01996385951507946,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,160,3,20,1,1,0.7457742559563247,0.02281219185020393,0.7610524422653528,0.025235217565105793,0.7337774732247094,0.03299789132670393,0.7467689780983722,0.02419383115374887,0.8179894618786447,0.018655709441143278,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,160,3,20,1,1,0.7516914902075106,0.022532696834820648,0.7651877022130058,0.029237593536939797,0.7438302624232274,0.026296511487369136,0.7539359941317277,0.021395220098966918,0.8197946238623308,0.019221760000495452,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,160,3,20,1,1,0.7442318395038826,0.023502889048460093,0.7597472535949868,0.02858958209541922,0.7322648596517942,0.02642377934820299,0.7454228525958275,0.022772145446925237,0.8188108163154446,0.021511317210185205,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,160,3,20,1,1,0.6701004425834152,0.026503039461006305,0.675288549141556,0.028326547179412773,0.6859474138368611,0.03854466723884577,0.6799144327443669,0.026272141740383746,0.724611379662292,0.02311834365859366,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,160,3,20,1,1,0.6734416823470173,0.02278556390023241,0.694699325413829,0.023947419777780508,0.645685498198061,0.041889048452869546,0.6685847759785762,0.027539832521508396,0.7328887682253195,0.021430403914899625,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,160,3,20,1,1,0.7012323430418997,0.022082561102540633,0.7443852317574597,0.02387197584861923,0.6336226587482869,0.03785521509126555,0.6839816204414275,0.027675574385335296,0.7697864560136445,0.016108659334879667,"{'model__max_depth': 6, 'model__n_estimators': 50}"
