modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
RandomForest,50,3,20,1,1,0.6691724681186264,0.01268405371168997,0.6576850650451326,0.006704179457669798,0.9606041642962794,0.014878736448892938,0.7807667225273406,0.008683135081787927,0.7167995925872562,0.021552127436385408,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.6681963339081561,0.013577146660015917,0.6570757743866873,0.0069858212388756655,0.9600836272613493,0.017498521764199707,0.7801525321553912,0.0095569160525897,0.7205746996774416,0.018774878596307013,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,3,20,1,1,0.7090193949458177,0.021317498047309254,0.7001357469367202,0.012413341161031577,0.9196125839117076,0.03340086270202089,0.7947619220933169,0.016592551136756933,0.7841063077286353,0.023987992538869993,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.7096634093376764,0.02288852974166313,0.7006202822268268,0.012897056410032257,0.9196182728410512,0.02971752189011743,0.7951813015011334,0.017300238487589794,0.7881112914000874,0.024181033399532797,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7161982925634967,0.02252063503164152,0.7233838450693909,0.01430420877801807,0.8700904539765617,0.02865900414526189,0.7898268316775986,0.017769404225364657,0.7842401587113245,0.020975254056165474,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7207851653147687,0.022598825345187992,0.7388657445040676,0.018481847404282187,0.8434577312549779,0.03173444243119528,0.7873442008498113,0.018260631159035822,0.7948388235809452,0.017255906408027297,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.730896723510251,0.019909506045211158,0.7554958759256574,0.014993183534268503,0.8301456365911936,0.026604426334533117,0.7908604273933366,0.01664587226081632,0.8043669758324137,0.019720328660883083,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7400587596602158,0.024005311454281086,0.7610216676333363,0.02325419370786434,0.8413414495391967,0.02254908818171967,0.7988744418324748,0.0172845857418979,0.815074624698795,0.02127840155140526,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.750178833748483,0.02502532605365892,0.773589231591675,0.024395487648779194,0.8392194788940721,0.022997778149455927,0.8047824699892182,0.01848090582723536,0.8203197157629074,0.023975364953796235,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7531178812458751,0.023842914515409253,0.7818290147760647,0.025954625774846536,0.8301570144498805,0.016725302305936995,0.805018051028609,0.016979830904982583,0.8235246078564528,0.022385626416893584,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7423325030337868,0.02170477356380146,0.7691595267238676,0.021333640449174202,0.8296108772329047,0.022182640494023336,0.7979805519116594,0.01629634629687591,0.8183652097848807,0.02145032688746156,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7498403270102829,0.022272146658682348,0.7785333438627559,0.02435858846732337,0.8290818068039595,0.02206214475583162,0.8026576638530354,0.01612856141802931,0.8214859711942306,0.021629103817184366,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7602978433501522,0.026644284740190666,0.7861642458931108,0.028399375023518563,0.8386619638184095,0.02526681785670257,0.8111303889884797,0.01936446723772935,0.8252104393384869,0.02497583161478377,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,3,20,1,1,0.6192054672031679,0.0046771927647511514,0.6176647660229632,0.003345328831292131,0.9952099214927751,0.00372382036269053,0.7622394809239312,0.002512240496138202,0.7264898415460184,0.02202367054752918,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6224702475995827,0.004290267806860257,0.6196262524145612,0.002748293992324525,0.9957446808510639,0.003980486581674396,0.7638918566541558,0.0023951805063525565,0.729885954205229,0.02211224767770105,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,3,20,1,1,0.6652572864107642,0.010566017187145104,0.653165387420114,0.005572321615092455,0.9685999544885652,0.015119872031202228,0.7801654464263954,0.007377098743959556,0.767739421074909,0.02440823561480557,"{'model__max_depth': 6, 'model__n_estimators': 50}"
