modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
RandomForest,50,3,20,1,1,0.7093948208297982,0.014370024336283356,0.8112663256084309,0.04428628154052514,0.3097478991596639,0.03911261966227721,0.44657486495407894,0.041770176252831255,0.7748081133966334,0.03133662966219005,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.7121035834040319,0.01578249613543553,0.817022330066685,0.045116409626906995,0.3157422969187675,0.04300938704434143,0.45338782258492116,0.045390144568108505,0.7764279243380415,0.02607368891611856,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,3,20,1,1,0.7480749808104068,0.02453565711467105,0.8057315220523449,0.04876425353337228,0.44567226890756295,0.05838043232607037,0.5719518222905611,0.05538294984435346,0.8256383686977383,0.023351684680798603,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.7489779016684847,0.021849038307827365,0.8074504619418817,0.04661063943946803,0.4481092436974789,0.055626128193751526,0.5742852629974895,0.05070824830612296,0.8287912019245443,0.023636602443999156,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7620227851169556,0.017257332579056733,0.7697754839930158,0.040526906798605704,0.5379551820728292,0.040193687159861394,0.6318729507377072,0.029977906766057247,0.8248407190549975,0.019989531116346985,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.778212741889872,0.01216854393496125,0.7628372001679791,0.03093511287618557,0.6088655462184874,0.04056425001685847,0.675748193700801,0.0229712915340855,0.8383881967575986,0.01805850047056922,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7912495455096351,0.016655761915990115,0.7681450237821441,0.041028216500979486,0.6514425770308122,0.03908612300514413,0.7034954583656563,0.023425457258671584,0.8441723519514651,0.01962464534344125,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7930473073970832,0.017335698509184927,0.780567896150888,0.035136944944185435,0.637142857142857,0.040928472483901905,0.70045278237189,0.027243461585645362,0.8455676428510681,0.019086227169126908,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7948369894558236,0.02161849634989562,0.7767476734743994,0.04646236466005908,0.6513305322128851,0.04339993550862741,0.7070142543583187,0.030941031817158383,0.8505659678977906,0.024176821939347726,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7930372076111987,0.022617135784551885,0.7702166149653934,0.048692216198795026,0.6548039215686275,0.036299757066168815,0.7065983248679873,0.030393334189295036,0.8502281503419098,0.02141188440631325,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7993414939603279,0.020610977885615094,0.7864050264867015,0.0409314845899623,0.6513025210084032,0.03930986340661055,0.711586789759943,0.030727295118120015,0.8482217237365696,0.026066159672189608,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.8011453157193069,0.018868718839588423,0.788214232790876,0.04710752485187753,0.6584453781512605,0.04197383657085337,0.7156805593260243,0.026327967009244505,0.8517758419881227,0.028022211012217933,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.8002363349896982,0.021503899530733995,0.7863231781387701,0.054511643767708916,0.6596078431372551,0.03545748283951014,0.7155483140559618,0.025377257824356427,0.8522780412810421,0.025108504360315153,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,3,20,1,1,0.6837716640407223,0.024103179619932667,0.8594165702718335,0.057480697076568894,0.2011904761904762,0.06430213596910915,0.3215307137278921,0.08602469563070005,0.7666823816694772,0.029054518429053818,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6842241344483497,0.022739991769295406,0.8690714840714839,0.0530061691029982,0.2011904761904762,0.06365312017089846,0.32177726420317054,0.08413231841356024,0.7758732170007534,0.028041528695862347,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,3,20,1,1,0.723807215287036,0.021470821801337844,0.843542936771391,0.032293885580263144,0.3371148459383754,0.06172022763809218,0.4785368153192076,0.06267957206574146,0.8180415977350425,0.029254021639431634,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.7247101361451136,0.023901046736236567,0.8495106860635083,0.03911732470860018,0.3371288515406162,0.06741312468933332,0.4787176023296326,0.07001257629101901,0.822357108558011,0.025219415185920826,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.7125439340685978,0.018810198277967864,0.8111653403296157,0.04955062638357503,0.3204481792717087,0.0492905278545479,0.4570273380144543,0.05293769464771983,0.7796285792958884,0.026115906598451942,"{'model__max_depth': 3, 'model__n_estimators': 50}"
