modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
RandomForest,50,3,20,1,1,0.652526026697324,0.01463045127044342,0.6438195679381786,0.007830508035612718,0.9701900102400728,0.01410824655871634,0.7739957672837232,0.009762445583502557,0.7215748709449241,0.03304371158590366,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.654482553064657,0.01281336822357038,0.6442929620140234,0.007187713835164636,0.9749800887472977,0.012603663435819172,0.7758484541874235,0.008280962818102625,0.7218860831723901,0.03150229805818444,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,3,20,1,1,0.7122863043154287,0.031698156444946904,0.7185807282879422,0.02388578313959017,0.8738195471612243,0.029566945345156945,0.7884044041330223,0.022857955240992225,0.7659011418234608,0.025735864573745368,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.708695791019991,0.028082311329817745,0.7140657633058509,0.019930197757220283,0.8765018773466833,0.031440705929944864,0.7867472930608403,0.020947783988167365,0.769235925600148,0.025738670666479987,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.6992261182431714,0.02353262718160261,0.7209591144247958,0.018843225818616686,0.8322875184890204,0.026111322572569536,0.7724004916646783,0.01766666873561496,0.7544417186893232,0.02732126030998035,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7116295160843925,0.02432470176241587,0.7382357342711982,0.020235827017130815,0.8216321538286495,0.024547282019275803,0.7775178872662122,0.018772165000248663,0.7645211698017144,0.02475227999369813,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7168455004151497,0.02048596614760517,0.7488901767011125,0.014310908390374907,0.8099101149163728,0.023640707816679596,0.7781126649628967,0.017051010430337434,0.7737154027247451,0.020519792982636016,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7286070128377083,0.018701867948276305,0.7549299928671942,0.015145736146799932,0.8258846285129138,0.022314171059014985,0.7886573052025457,0.014943512803162348,0.7821403956336377,0.023624607365211193,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7364437631730217,0.019753516352159797,0.7669621909030011,0.015555297121930548,0.8195044942541813,0.023775648998465192,0.7922047198549624,0.01620441921474936,0.7858914797388956,0.023226785278238807,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7335132315684145,0.020233090257489875,0.7638713304755853,0.017235847915880672,0.818975423825236,0.019308181144643166,0.7903464852164503,0.0155529215066707,0.7881433155307092,0.023990422413121406,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.733835771007643,0.02141411473630136,0.7550240217665369,0.015990183696789964,0.838155649106838,0.02448450289317575,0.7942835340824154,0.01710739114250966,0.7875664130440789,0.024110678087965843,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7335132315684145,0.018234155830986337,0.7626607906070058,0.016640001529067035,0.8216406872226646,0.019198995343303903,0.790886934663473,0.013745964698908583,0.7938205191043906,0.023586634552315598,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7364533435524047,0.02021278224078412,0.7694866864311221,0.017578801804204847,0.8147343269996588,0.02216142779780422,0.7912929732216128,0.015978330279484195,0.7932984181405688,0.024042874350711105,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,3,20,1,1,0.6139777735198313,0.0028058826853826807,0.6138007336930251,0.002002348387329229,0.9994652406417112,0.0016042780748663165,0.760533719599511,0.0018764152256570883,0.6971151960710038,0.02646546793615191,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6133252432351876,0.0013514201334524066,0.6133252432351876,0.0013514201334524066,1.0,0.0,0.7603234917935463,0.0010390072071445725,0.707613502911612,0.021896848364357048,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,3,20,1,1,0.6414053352068299,0.015293783472143286,0.6349344698146874,0.007719018896236649,0.9771020593924223,0.016841993412556752,0.7696837819172617,0.01034610617326384,0.7383667170148933,0.028624981544151513,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6401013391241404,0.010813632257276013,0.6341863699561816,0.006016769229969334,0.9765758334281489,0.011455505407161733,0.7689683086526586,0.0068491239707276575,0.7422092217325884,0.023215449688293786,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.6482765961976539,0.008571022664539614,0.6397670004721333,0.006306794455417641,0.9765758334281489,0.0126301999009783,0.7730204726576977,0.005387332439029321,0.726344451156389,0.025138085994165338,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.6499095186391602,0.014548773214015261,0.6406238520579556,0.009514885229345113,0.978168733644328,0.014171111861155229,0.7741389859838926,0.008866957581619182,0.7267015910965476,0.0275421954265038,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.707057546145494,0.0203544369064221,0.712236890543858,0.015255064265076534,0.8770081920582546,0.020080266413893096,0.7859727365740203,0.014648971383803553,0.769674550580659,0.02518797127932779,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.7086947265333929,0.025589075431889683,0.711773536274554,0.018173180494124867,0.8828649448173854,0.022073738630330523,0.7880538495518595,0.018152670419388423,0.7716481442697897,0.026277845405578145,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7037917012624811,0.02087400417727003,0.7225105330224719,0.01742678758718907,0.8402662418932756,0.020574185022202342,0.7767871362620951,0.015003782779237418,0.7509003744540642,0.03014654181375058,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.718812671648464,0.022958301495901307,0.7430547006152297,0.019485771304279115,0.8285470474456706,0.0226685853182353,0.7832961410842222,0.017159228842395107,0.7701766002157694,0.027774819024559583,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7253411679546954,0.023186676793061422,0.7489792067321772,0.019445757571424603,0.8312123108430993,0.02013164701953148,0.7878303380238473,0.017036830252342004,0.7784162180736695,0.0243303229319639,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.73678333439782,0.022743167311410295,0.7572861849470242,0.019613214154111665,0.8408010012515644,0.02168306071424108,0.7966958288632876,0.01701434937368466,0.7895678683882361,0.02121765257468931,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7357891039151816,0.022320365697507533,0.7615950340148814,0.01833396215037022,0.8290732734099443,0.022150573301670914,0.7937649289193563,0.017223025714139636,0.7946445636798625,0.024621448353427892,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7341583104468714,0.025166804153029316,0.7632645625737766,0.020093938259526427,0.8216236204346343,0.022195316094387352,0.7912878580959155,0.019512425637670854,0.7948047988853684,0.023579765809463603,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7341646973664602,0.020622038964708208,0.758047167044791,0.01852233317083677,0.8328080555239504,0.017620423446330587,0.793549253050014,0.015234372707805977,0.7899283364249854,0.023277282667090612,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7308988524834473,0.0158826861546196,0.7606359438432971,0.015471809539510788,0.8194902719308226,0.014560041977777946,0.7888534379896005,0.01178725072556559,0.7948769329658733,0.021680948347552995,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7420025121883715,0.019869588221579516,0.771656726746283,0.017030381415069268,0.8232278985095004,0.018481370236987708,0.7965093987346336,0.015317843076546647,0.7985015171923238,0.026084321709731604,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,5,20,1,1,0.6133252432351876,0.002469452900350038,0.6133991744470165,0.0018380410851482972,0.9994652406417112,0.0016042780748663165,0.7602255670804052,0.00174766775691369,0.7049261252294674,0.024110112270150186,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,5,20,1,1,0.6136509761342104,0.002536911653305411,0.613599297927462,0.00182484458426142,0.9994652406417112,0.0016042780748663165,0.7603793314446958,0.0017531433246857856,0.708936934867747,0.022560897334984897,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,5,20,1,1,0.6443486406506141,0.01353888294647944,0.636832615134783,0.008708482981765164,0.9781630447149846,0.013776820710617036,0.7713676716938919,0.008228674154462105,0.7379697417062403,0.027912622179824247,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,5,20,1,1,0.6443497051372121,0.01278052173992416,0.6366653683462709,0.008728561446489168,0.9792325634315622,0.013129868063412143,0.7715671862639512,0.0074479555942426265,0.7375345670723149,0.02627136787525363,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,128,3,20,1,1,0.667222328670882,0.01383589591243102,0.6588096725382285,0.011396913933739043,0.949954488565252,0.015824491972174858,0.7778894662691715,0.0077020299596885,0.7275196127074783,0.022101873551446792,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,128,3,20,1,1,0.6649315535117414,0.011681711041930934,0.6547307899141551,0.008971644447656024,0.9606041642962794,0.01618325421695475,0.778596637160215,0.0070897809785610425,0.7333187669814055,0.020787128121228023,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,128,3,20,1,1,0.7158693662046794,0.023819160011157803,0.7214616031527621,0.01716088463837921,0.8748805324837866,0.029268363995037395,0.790576260255705,0.018124957820445875,0.7761906733232353,0.019966036550237206,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,128,3,20,1,1,0.7152125779736433,0.020993128942412842,0.7190773011531404,0.01793613742973542,0.8802110592786437,0.02123914381168519,0.7913213712442536,0.01448115615056907,0.7805974725726109,0.02028686359957636,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7073800855847224,0.020941143031699402,0.7228804325856875,0.01795530719183167,0.848788258049835,0.017736148482919274,0.7806569692402169,0.014830679308516937,0.7653711874875512,0.01979750917617111,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,128,3,20,1,1,0.7126152306742458,0.02515899572180516,0.7342065425688873,0.02111959981460332,0.8338917965638867,0.027220020073445525,0.7806345681802178,0.019249459250363254,0.7785060254318235,0.01991760982976147,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,128,3,20,1,1,0.7302399352792148,0.021898792984924812,0.7561150133998498,0.020857604505905503,0.8280407327340995,0.02646206936476967,0.7901169877082042,0.016907129490268222,0.787027291579093,0.02320726176460279,"{'model__max_depth': 3, 'model__n_estimators': 200}"
