modelo,vector_size,window,epochs,sg,min_count,mean_test_accuracy,std_test_accuracy,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc,params
RandomForest,50,3,20,1,1,0.7004060113925584,0.01170240900244428,0.7564483399849253,0.04245018461608536,0.31808123249299725,0.0450377770382178,0.44488558660122457,0.04517676844522696,0.7427412232744574,0.035447030061766985,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.6986082495051105,0.015376547841484362,0.7560543474788561,0.049039338444716744,0.3098319327731092,0.0450779745541891,0.4371412893496288,0.047296336173377716,0.7406097500356326,0.03501409843005187,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,3,20,1,1,0.7426715953621784,0.025615248993049254,0.7844355545140924,0.058366307345731,0.44794117647058834,0.049758617101296844,0.5688786035569463,0.049028864106334516,0.7951778961875663,0.021900925672588018,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,3,20,1,1,0.7399648527451218,0.026084388417692905,0.7843534857577411,0.056261301544886656,0.43728291316526613,0.056071330180543444,0.5598730728273089,0.054191209603195664,0.8001373565399925,0.022034362569826556,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7548074980810406,0.02105576706674177,0.7624196684963687,0.044231450774371926,0.5176330532212885,0.04103982978302999,0.6158354715330516,0.038004781789740774,0.7962801491589971,0.01861188322543783,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.764709328162243,0.021912798688641894,0.7525237331751142,0.03569744994495607,0.5685294117647058,0.04094012900755759,0.6472880087658035,0.03695968018487385,0.8093146411214438,0.015521968329275397,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7696562032884903,0.017362934803145918,0.7401672972156446,0.03728032279488316,0.6111204481792718,0.032605763947074186,0.6686410860653902,0.02501708111560417,0.8213511065062861,0.012737067899209234,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7678604613582193,0.020666314157950675,0.7398922033536494,0.03682930929188514,0.6027591036414565,0.03468535112081362,0.66380840466167,0.030687225924151837,0.8204039104269656,0.01955658707491017,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7791156627479497,0.028429944604204328,0.749525754459896,0.048408418054215405,0.6324649859943978,0.05631348751149361,0.6847414642224546,0.04388340035321444,0.8299438827683829,0.01842569268450857,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.7809033248495132,0.026877251739761285,0.7535239311977566,0.0473502042070055,0.6336274509803921,0.06143670250605014,0.6865981990240801,0.04336499144048827,0.8310398096613024,0.021951501143638,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,3,20,1,1,0.7719023956692119,0.029504327058480717,0.7458660363113598,0.052553380584872245,0.6098599439775911,0.04545926802525867,0.6703105498361289,0.04314796973208026,0.8254827391656969,0.01714668821743655,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,3,20,1,1,0.7768573506241669,0.020746532547222744,0.7455096227150999,0.04019805302931056,0.6311904761904762,0.04666666036162323,0.6823007644177479,0.03236454383565826,0.8267437234070609,0.02048008127167061,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,3,20,1,1,0.775055548822365,0.019960162561500974,0.7426472385364496,0.04268143882211233,0.6300280112044818,0.03734042751405426,0.680535480300497,0.027306083059955463,0.8278467234772888,0.02028410629410653,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,3,20,1,1,0.6459823051751303,0.01214936992098049,0.8643531468531469,0.12449075813320432,0.08397759103641458,0.0329859853588162,0.15111845752481257,0.05590027402513579,0.7206377171623966,0.03778843126383377,"{'model__max_depth': 3, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.6468811861188544,0.011168080914920669,0.8730050505050505,0.1353184057570851,0.08633053221288516,0.02442026060234511,0.1560284646946607,0.0418463161404108,0.7255117171167631,0.03780410568540278,"{'model__max_depth': 3, 'model__n_estimators': 100}"
ExtraTrees,50,3,20,1,1,0.7022037732800065,0.018067482211967315,0.8302286414565826,0.05964537491717518,0.2754901960784314,0.0461522316034775,0.4111463917662088,0.055184046097252276,0.7746405339878468,0.026824444965519216,"{'model__max_depth': 6, 'model__n_estimators': 50}"
ExtraTrees,50,3,20,1,1,0.7022057932371834,0.016012987278395778,0.8372359711568309,0.06054140424854455,0.2731512605042017,0.044572949603873625,0.4090426577013389,0.05329973717602162,0.7791792269642437,0.02586623866002894,"{'model__max_depth': 6, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.7062558073768836,0.01771713053047356,0.7644504251805279,0.06191474797245055,0.3358823529411764,0.04801102471293264,0.46344529572737364,0.04708846420881004,0.7441726864235593,0.028613592640569563,"{'model__max_depth': 3, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.7053508665616288,0.016025753771143934,0.76577422827048,0.054459055093083956,0.3299159663865546,0.04585589883891173,0.45831330735937004,0.045532258437628856,0.7423133416066098,0.029262282006400336,"{'model__max_depth': 3, 'model__n_estimators': 100}"
RandomForest,50,5,20,1,1,0.7413263038823578,0.015198884391747259,0.7777619655853762,0.04215218005892654,0.4503921568627452,0.03155675711798054,0.5695450173658013,0.02804918099443329,0.7917828370108225,0.01690707211149487,"{'model__max_depth': 6, 'model__n_estimators': 50}"
RandomForest,50,5,20,1,1,0.7458166686866239,0.021941589369310455,0.7922968759848592,0.050851325601137407,0.4515686274509805,0.04598194285761441,0.5739456196416308,0.04282137559420083,0.7939855672513373,0.01910378686444341,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7404274229386336,0.018296495583168874,0.7362563049225485,0.03465171288444182,0.496484593837535,0.04161382144233338,0.5920989393685963,0.03437722792043795,0.7901098820465455,0.01703632399481681,"{'model__max_depth': 3, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7579667111057246,0.012379939840052314,0.743451388211172,0.025387138280648553,0.5567086834733893,0.026950247131442513,0.6362231731119085,0.02134821491762505,0.8050878217043719,0.01379387238216879,"{'model__max_depth': 3, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7660748192138327,0.016575747055030735,0.7395693067069524,0.029105025119987474,0.5957563025210083,0.03008024182062102,0.6594975992963779,0.02535179224514591,0.8126463365415985,0.018809828994265334,"{'model__max_depth': 3, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7701248333535329,0.011219678625853467,0.7503371018746646,0.022326516228839632,0.5945938375350138,0.03219992431990088,0.6627782395288763,0.020563675850992863,0.8187128939696052,0.017547536551004418,"{'model__max_depth': 6, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7827132064800226,0.017592326473522213,0.7573842709113638,0.029124306754364906,0.6323389355742297,0.04514309778203089,0.6882547029687347,0.031066591466537657,0.8246941821264631,0.01863673022732257,"{'model__max_depth': 6, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.7804548943562397,0.02206247828687047,0.7505613813779317,0.04699043903831985,0.6382212885154063,0.03788951341047742,0.6886233485907797,0.03002423307235856,0.8245461158122405,0.020412174284101636,"{'model__max_depth': 6, 'model__n_estimators': 200}"
LightGBM,50,5,20,1,1,0.7764069001737164,0.021046697185176308,0.7555008258375422,0.041831907972070495,0.6135434173669467,0.04583877850358563,0.6757277581343857,0.03180285914310405,0.8215774274377052,0.02064687348799655,"{'model__max_depth': 9, 'model__n_estimators': 50}"
LightGBM,50,5,20,1,1,0.7836080475093927,0.018803165098970554,0.7651155173274378,0.042757296462764875,0.6264845938375349,0.04038160029030328,0.6875249449289258,0.02787556337388848,0.8215788297758542,0.02392431755464176,"{'model__max_depth': 9, 'model__n_estimators': 100}"
LightGBM,50,5,20,1,1,0.780008483820143,0.02541967025593817,0.7629845048989368,0.05272146320407432,0.6169467787114847,0.04082588609816184,0.6808825254646214,0.0350856859844404,0.8241032584619588,0.024448270503918092,"{'model__max_depth': 9, 'model__n_estimators': 200}"
ExtraTrees,50,5,20,1,1,0.6468771462045004,0.010931343299970118,0.8492210567210566,0.12885479083752627,0.08746498599439775,0.02658167743778848,0.15758874122338606,0.044693848727934846,0.7249086472629885,0.03170269912083838,"{'model__max_depth': 3, 'model__n_estimators': 50}"
