,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.7470682161503193,0.031302830422371,0.7477095452961626,0.031466990060182574,0.7477095452961626,0.03146699006018261,0.7468960212420688,0.03131541930054927,2.282214856147766,0.2965657842202051
XGBClassifier,0.7444783081122625,0.015764863304000995,0.7445055655991917,0.016085704107226602,0.7445055655991916,0.016085704107226647,0.7442536076185438,0.016053115592427378,12.270302176475525,0.10485853758166533
LGBMClassifier,0.7439714573450296,0.02149731634997883,0.7442837519920302,0.021673261622808217,0.7442837519920302,0.021673261622808214,0.7438219942070161,0.021634248696346257,7.053136324882507,0.397257837015428
RandomForestClassifier,0.7421746216839371,0.024711230638860163,0.7428246183958958,0.024783430756699816,0.7428246183958958,0.02478343075669984,0.7419889467583559,0.024746318811180917,6.3877551555633545,0.3190048005405573
NuSVC,0.7398497336548909,0.01939648305592064,0.7396206418793037,0.01920129982156083,0.7396206418793037,0.019201299821560793,0.7396536692074343,0.0195116827451404,5.359510469436645,0.26987308725332676
SVC,0.7362428113322557,0.011327354988571799,0.7362085922638687,0.011280703708425118,0.7362085922638687,0.01128070370842511,0.7360837727853367,0.011455564295609092,5.054481863975525,0.29437733533652716
RidgeClassifier,0.728260408660854,0.014552762996863422,0.7280780481481355,0.014572685325535269,0.7280780481481354,0.014572685325535292,0.7281208136213859,0.014544991712768662,0.2961003541946411,0.04545178653937927
LinearSVC,0.7264589351496038,0.013604080614745663,0.7262268260112745,0.013638989299784578,0.7262268260112746,0.013638989299784543,0.7263174892085014,0.013616312435874542,109.86628000736236,13.421189806712956
RidgeClassifierCV,0.7254392706649352,0.01952034811052082,0.7252757521945568,0.019562846666769863,0.7252757521945568,0.01956284666676988,0.725359905184553,0.01953377691209426,1.262686061859131,0.5408215283413232
LogisticRegression,0.7220927305011529,0.016336037080875287,0.7220021769056416,0.016475046722239806,0.7220021769056416,0.016475046722239792,0.7219844235555016,0.01638816178468015,0.6292854309082031,0.19331226013063926
LinearDiscriminantAnalysis,0.7207954575570455,0.015247111989419474,0.720432140322381,0.01514545361503149,0.720432140322381,0.01514545361503147,0.7205671042655384,0.015226397382212223,1.1609092712402345,0.22214356471371707
CalibratedClassifierCV,0.7207974452071131,0.016453479471879612,0.719889925819574,0.016616570018147446,0.7198899258195741,0.016616570018147484,0.7201019671471641,0.01669954819477281,358.4402475833893,23.414827390344936
KNeighborsClassifier,0.7166757215169746,0.017756574650990144,0.7169108377003114,0.01788730020594044,0.7169108377003114,0.017887300205940433,0.7164741653603348,0.017832953301718933,0.22011640071868896,0.034919037874616664
BaggingClassifier,0.7141162907799539,0.024181013660806546,0.7152064040360787,0.024143184488751187,0.7152064040360787,0.024143184488751166,0.7134822143565799,0.024377316557447466,17.05701675415039,0.4584687595055465
QuadraticDiscriminantAnalysis,0.6829625261707258,0.02574615878500249,0.6813369523499119,0.026237786787523514,0.6813369523499119,0.02623778678752351,0.6801952272310163,0.027418089689627546,1.6134560823440551,0.41559005747038064
SGDClassifier,0.6780676066042985,0.014849559850150214,0.677751117298856,0.014442250989470311,0.677751117298856,0.014442250989470311,0.6772296010770841,0.014689022470875272,0.8010792255401611,0.14074879123378442
AdaBoostClassifier,0.674973497999099,0.029311277802142103,0.6753435400592237,0.02903295908191355,0.6753435400592237,0.029032959081913553,0.674766682598493,0.029590867629883857,12.678871846199035,0.07039463923702491
ExtraTreeClassifier,0.6744838735324518,0.019818333189718377,0.6744514896194346,0.019676392898292035,0.6744514896194346,0.019676392898292035,0.6743768392700796,0.01975197655750782,0.14720649719238282,0.01796471623523888
Perceptron,0.6654897569766518,0.02930646497751386,0.665319802984442,0.029778037979702986,0.665319802984442,0.029778037979703013,0.6650569308002503,0.029292222249736558,0.2790021181106567,0.08975897827605518
DecisionTreeClassifier,0.6613455065857472,0.020265580284712665,0.661213581005964,0.020161637044694675,0.661213581005964,0.020161637044694702,0.6611868327453886,0.020121557610666373,2.792583703994751,0.2806051724253372
PassiveAggressiveClassifier,0.6492572814247476,0.026469409543146968,0.6488200146068435,0.026708577211313023,0.6488200146068435,0.02670857721131301,0.6484181650325724,0.026912950977184345,0.3317319393157959,0.0748473704261169
BernoulliNB,0.6325345188561736,0.028252164170718574,0.6338154634848631,0.028246061716843577,0.6338154634848632,0.028246061716843577,0.6312471733865774,0.028312620666340924,0.1757883071899414,0.004304351216155933
NearestCentroid,0.6240432777674714,0.03007099289176733,0.624417191142925,0.030327956494009538,0.624417191142925,0.030327956494009524,0.6235842567179767,0.029995156701079054,0.20665810108184815,0.0388556491526908
LabelSpreading,0.6255724432194631,0.02273237233835199,0.6323037251521779,0.02279768152888178,0.6323037251521779,0.022797681528881765,0.5900029681115895,0.02819127617691036,1.3900210380554199,0.29600153467945567
LabelPropagation,0.6250576418519598,0.0226940197429295,0.631801212589364,0.022748422752736686,0.631801212589364,0.0227484227527367,0.5893053453065904,0.028166318850264847,1.028347134590149,0.18795894082075054
GaussianNB,0.5838967217024885,0.038399140321364066,0.5774658742180562,0.040052771000734455,0.5774658742180562,0.04005277100073446,0.5423742499548958,0.05921218258084152,0.1605836868286133,0.018196375400450195
DummyClassifier,0.5113223173349588,0.0008088566325004463,0.5,0.0,0.5,0.0,0.34598942525518667,0.0009095251461820008,0.1220515489578247,0.015006736089972706
