,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
RandomForestClassifier,0.7357359605650227,0.016406425901213856,0.7363538077211709,0.01655478629236618,0.7363538077211709,0.016554786292366175,0.7355867884079256,0.016301015809935857,6.3562837600708,0.23200644965372352
ExtraTreesClassifier,0.7316195372750642,0.01990929286916174,0.732136196157619,0.02010440986238309,0.732136196157619,0.020104409862383085,0.7314393694929273,0.019880976499562882,1.685008430480957,0.29237934505735824
LGBMClassifier,0.7311080486576736,0.021405265848791984,0.731328836659437,0.021444914119083693,0.731328836659437,0.021444914119083735,0.7309960012959114,0.0214670825219647,5.057308983802796,0.3542686384381483
NuSVC,0.7290389049373227,0.015065401084582293,0.7286340845769568,0.015185973530812361,0.7286340845769568,0.01518597353081237,0.7288222407865185,0.01518720301193819,2.533954691886902,0.2858167875842185
XGBClassifier,0.7280093022023163,0.015642448062418417,0.7281236802223313,0.015648663910383383,0.7281236802223313,0.015648663910383383,0.7277801425055619,0.01580144815544024,9.319472074508667,0.41158189655832284
SVC,0.722341849309623,0.011898777913830896,0.722424096762896,0.011801836522247323,0.722424096762896,0.011801836522247325,0.7222110884646172,0.011878766851813178,2.126067614555359,0.14224868449262495
BaggingClassifier,0.7061292502583945,0.01337366743920378,0.7072697981439056,0.013529145239755581,0.7072697981439056,0.013529145239755559,0.7052792178911667,0.013395563949242937,12.612684154510498,0.5555037867235574
KNeighborsClassifier,0.7045974346063127,0.02356718940116005,0.7041170982377013,0.023718195941464303,0.7041170982377013,0.023718195941464265,0.7042454064018597,0.02380801320853749,0.10953805446624756,0.025324133336104594
CalibratedClassifierCV,0.6955774785996343,0.01957886908590873,0.6946608119710473,0.0196142788755843,0.6946608119710473,0.019614278875584226,0.6948296758343508,0.019540694679017506,21.714660310745238,3.885089744332432
LinearDiscriminantAnalysis,0.6935176105795987,0.021582713849410032,0.6929847345636819,0.021535477066519655,0.6929847345636819,0.02153547706651966,0.6931036892639197,0.021396051490572523,0.26875717639923097,0.012291244394459668
LinearSVC,0.6932645164709935,0.019809550562422038,0.6928146218294328,0.020009985038443426,0.6928146218294328,0.02000998503844338,0.6929107148323731,0.019951178143664886,5.519357419013977,1.1480068087172242
RidgeClassifierCV,0.6932618662709034,0.01839193493315468,0.6929036132791753,0.018509874265273243,0.6929036132791753,0.018509874265273268,0.6928959001756151,0.018460749318002987,0.6491750478744507,0.372817178416741
RidgeClassifier,0.6927437521532875,0.01937448800449689,0.69234261482344,0.01935369838697996,0.69234261482344,0.019353698386979912,0.6923392749462741,0.01934439072717774,0.20142667293548583,0.1504519560073165
LogisticRegression,0.6873446320197175,0.020382409808690344,0.686974051544271,0.020434743614661924,0.686974051544271,0.020434743614661938,0.6870818194396332,0.020492443123805645,0.2620591402053833,0.05752744584228105
AdaBoostClassifier,0.6819382238358995,0.01945725166496279,0.6821614146528191,0.01904430451810336,0.6821614146528191,0.019044304518103333,0.6816783163100086,0.01970903692053061,10.458261346817016,2.964069341325007
QuadraticDiscriminantAnalysis,0.6755035380171203,0.024974787618794153,0.6728549102312658,0.025226009735423147,0.6728549102312658,0.025226009735423154,0.6704296630326322,0.026352967527016942,0.44416854381561277,0.11521470776530211
DecisionTreeClassifier,0.6703654625924258,0.019212759600191313,0.6705230291860813,0.01952265015035807,0.6705230291860813,0.019522650150358055,0.6702716891810676,0.019185917190277072,1.9973291873931884,0.2165010624182525
ExtraTreeClassifier,0.6587860758487266,0.0173351161089936,0.6585300098629905,0.017032533131829456,0.6585300098629905,0.017032533131829515,0.6585692912065586,0.017127309390324273,0.07506129741668702,0.016509908199870884
SGDClassifier,0.6312511594625394,0.04079528318671819,0.6312452804769653,0.04041670669519072,0.6312452804769653,0.040416706695190735,0.6308669996023821,0.04081849013768146,0.46705682277679444,0.12463359712025862
PassiveAggressiveClassifier,0.6165829645138208,0.023998624264671035,0.6168151687273613,0.023517672397159812,0.6168151687273613,0.023517672397159795,0.6156963321467516,0.024760713816519675,0.154949951171875,0.038390944022631344
Perceptron,0.6157905546868789,0.02295351284194303,0.6154949356284982,0.023498389049727987,0.6154949356284981,0.023498389049728025,0.6150304518947849,0.022985494303273894,0.15296680927276612,0.0713709405438271
BernoulliNB,0.6165650756632126,0.0349417563099481,0.6179966838826928,0.03489088846802273,0.6179966838826928,0.03489088846802273,0.6149508079561871,0.03529621895515028,0.08634064197540284,0.001412158785281786
NearestCentroid,0.6127123472822198,0.03717362906700632,0.6133596108946545,0.036974029383570535,0.6133596108946546,0.03697402938357051,0.6121251739626367,0.037471487928747375,0.09619519710540772,0.014473510678658635
GaussianNB,0.6078134524156573,0.024293277816641038,0.6041828360302309,0.0247802833561202,0.6041828360302309,0.024780283356120147,0.5964416078569543,0.027359068679336906,0.06798176765441895,0.011753937871406434
LabelSpreading,0.5910979778973312,0.010018234545409965,0.5987097515119203,0.009932282360923307,0.5987097515119203,0.009932282360923262,0.5400148764556489,0.015827125268258108,1.014203715324402,0.2224874407104175
LabelPropagation,0.590583176529828,0.00941881367320899,0.5982416748179774,0.009304032241967814,0.5982416748179774,0.009304032241967792,0.5387171770575097,0.015377094334275303,0.5704211711883544,0.12776388856522547
DummyClassifier,0.5113223173349588,0.0008088566325004463,0.5,0.0,0.5,0.0,0.34598942525518667,0.0009095251461820008,0.061529135704040526,0.01346549492148955
