,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.7367549624996688,0.021133783198964716,0.7364098937002931,0.021235988745789927,0.7364098937002931,0.0212359887457899,0.7366095401844973,0.021225016284024505,1.5060013055801391,0.22292238644390525
RandomForestClassifier,0.7308357405984152,0.02126255036116465,0.7305143976381745,0.021345327134833537,0.7305143976381745,0.021345327134833565,0.7307173376155871,0.021308163565432765,2.005311369895935,0.05413154399985993
NuSVC,0.7256864018233377,0.027461546748279254,0.7249334562994971,0.02758845757374727,0.7249334562994971,0.027588457573747227,0.7252390995773611,0.027573868714514945,3.1426231145858763,0.41447413577996156
SVC,0.7251769008560146,0.022066139880457882,0.724703288473455,0.022262787785428114,0.7247032884734551,0.02226278778542809,0.7249147287279321,0.022214351473953953,2.810905647277832,0.35749533207154444
LGBMClassifier,0.7215766040336045,0.02169763667591756,0.7207939694676008,0.022017214647239797,0.7207939694676007,0.022017214647239807,0.7210590758295564,0.02208378547516497,1.4874562740325927,0.06575045627287236
XGBClassifier,0.7197817560225797,0.027498459591413105,0.7189797211418476,0.02763640496581395,0.7189797211418476,0.027636404965813953,0.7192779342743245,0.02762407276272482,2.446796989440918,0.7993769034578578
BaggingClassifier,0.713337794503485,0.019431586588216507,0.7135094366289818,0.01943725039491727,0.7135094366289817,0.01943725039491728,0.7133177580639856,0.019403775363266432,3.140812563896179,0.0863200588114205
LogisticRegression,0.707157527893356,0.02111766964572617,0.7061032053256333,0.02110820864108005,0.7061032053256333,0.02110820864108009,0.7063523116873742,0.021127295184591242,0.43268613815307616,0.17164080942759707
LinearSVC,0.7066427265258527,0.023109384719745083,0.7056934911259164,0.023204353199447917,0.7056934911259164,0.023204353199447938,0.7059898109847191,0.0232367463976229,38.84267315864563,5.555832245675113
LinearDiscriminantAnalysis,0.7053553918320834,0.024716696755455604,0.704559491465072,0.02489511174215804,0.704559491465072,0.024895111742158003,0.7048618599990235,0.02492100571660845,0.47667057514190675,0.21669834941563476
RidgeClassifierCV,0.7056111361407786,0.022935378451798095,0.7045799591105066,0.022919187851372876,0.7045799591105066,0.022919187851372907,0.7048098642402149,0.02296358200565812,0.41349129676818847,0.03129115262771326
RidgeClassifier,0.7045848461558848,0.02016061036930254,0.7035988606102332,0.020244797161193102,0.7035988606102332,0.020244797161193127,0.7038763105132771,0.020270947888923873,0.18821220397949218,0.05195536934538201
CalibratedClassifierCV,0.6994341822807622,0.021885288586874475,0.6978380376859615,0.021975454544676292,0.6978380376859615,0.021975454544676233,0.697625039072346,0.022300055542808388,136.45954988002777,7.485046294771256
KNeighborsClassifier,0.6855491214586701,0.02081291807721528,0.6874183809862202,0.02061843536686183,0.6874183809862202,0.020618435366861813,0.6833409587262564,0.021544546345010303,0.12159976959228516,0.007101340749127627
LabelSpreading,0.6801433758248747,0.02981169318036058,0.6822865810025291,0.02972903261312211,0.6822865810025291,0.029729032613122108,0.6773922325506707,0.030396199428640747,1.1777875423431396,0.273957104829781
LabelPropagation,0.6801433758248747,0.02981169318036058,0.6822865810025291,0.02972903261312211,0.6822865810025291,0.029729032613122108,0.6773922325506707,0.030396199428640747,0.7446462869644165,0.05821847080512146
ExtraTreeClassifier,0.67189794079453,0.01870626327457354,0.6706706884464092,0.018473002031432408,0.6706706884464091,0.018473002031432383,0.6707331036879796,0.01839258711567355,0.09531738758087158,0.014322391578278021
DecisionTreeClassifier,0.6634073622558503,0.022418205929878456,0.6623372921415768,0.02253145166127571,0.6623372921415767,0.022531451661275702,0.6623339833211374,0.022718974657380275,0.6099630832672119,0.09948477283145105
SGDClassifier,0.6554322476346964,0.03193941926164507,0.6546206431514551,0.031239811013021392,0.6546206431514551,0.031239811013021347,0.6534601186500772,0.032712250246235544,0.43496074676513674,0.10278922272259991
AdaBoostClassifier,0.6446234065671959,0.028132823545209486,0.6449665913934626,0.028681894682284534,0.6449665913934626,0.028681894682284517,0.6439963263753425,0.02809104207654946,2.9602406501770018,0.29493100230413305
Perceptron,0.6402353377680015,0.030771489077835945,0.6399314965501159,0.030285421022424344,0.639931496550116,0.030285421022424357,0.6389882276232136,0.030122924631608337,0.14841136932373047,0.019308973435313882
BernoulliNB,0.6307224445445632,0.025166001447431148,0.6327113084981374,0.025013773992365134,0.6327113084981374,0.0250137739923651,0.6277245452445774,0.02577098751436696,0.11209847927093505,0.012888229959589104
PassiveAggressiveClassifier,0.6335833355418334,0.03706419934167037,0.6321888187042908,0.035705250007198826,0.6321888187042908,0.03570525000719884,0.62749820672433,0.03657012527748777,0.16368472576141357,0.024782127813408335
NearestCentroid,0.6029344340497708,0.033912260797261715,0.6034228527259471,0.03412493797037308,0.6034228527259471,0.03412493797037309,0.6025423681846198,0.033749341435459386,0.12502710819244384,0.02035906703663943
GaussianNB,0.6101469535949964,0.04281349954150068,0.6074293552011086,0.046688559303534376,0.6074293552011087,0.04668855930353439,0.5872219053805884,0.059315378862045694,0.09209485054016113,0.006103210945356175
QuadraticDiscriminantAnalysis,0.6124638910237723,0.029872091715358356,0.6060400741715208,0.030780908432782823,0.6060400741715208,0.030780908432782816,0.5751886679212495,0.04690811886076871,0.4122870922088623,0.13109468537327731
DummyClassifier,0.5113223173349588,0.0008088566325004463,0.5,0.0,0.5,0.0,0.34598942525518667,0.0009095251461820008,0.08140878677368164,0.00940021754169429
