,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
LGBMClassifier,0.7658480764727172,0.02346292618514655,0.7438679574705009,0.02569960808202096,0.7438679574705008,0.02569960808202094,0.7631532988121181,0.023979360286640626,6.458311367034912,0.29122070012461837
ExtraTreesClassifier,0.7645323710374486,0.01832413498336976,0.7431025932977524,0.021515023673996575,0.7431025932977525,0.021515023673996558,0.7618561062455812,0.01886603331787017,1.6189225912094116,0.2451521759627266
NuSVC,0.7550605692874327,0.022850644224616867,0.7294429332891076,0.02806756433105487,0.7294429332891076,0.028067564331054888,0.7510039077695991,0.024698854467605846,2.906886911392212,0.31412102427230165
RandomForestClassifier,0.7537555087181452,0.022168090117697294,0.7299311859943793,0.024315196750148954,0.7299311859943793,0.024315196750148958,0.7505126149800528,0.022709734279614386,4.878521084785461,0.26437969321241295
XGBClassifier,0.7531008494603053,0.023681564443571706,0.7294085311074239,0.029491819978968797,0.7294085311074238,0.02949181997896884,0.7496730171719237,0.02560197647337901,10.237567663192749,0.8367874517972993
BaggingClassifier,0.7469076664324796,0.018259678237711744,0.7370237518998681,0.020935398528638714,0.7370237518998681,0.020935398528638745,0.7476966652697382,0.01856221539223397,12.780633211135864,0.38207509628813846
RidgeClassifier,0.7429807753720381,0.022694087820725073,0.720875371261182,0.02600161298921649,0.720875371261182,0.026001612989216483,0.7403361354748751,0.02353835830514125,0.3010829448699951,0.17750372958355348
RidgeClassifierCV,0.7429765174256456,0.020919503302091105,0.7197702554122656,0.024780387370071016,0.7197702554122655,0.024780387370070964,0.7399522492136592,0.021943995609491847,1.054243540763855,0.251007361998688
LogisticRegression,0.7361222882203913,0.021676294632497314,0.7148162551582611,0.02452477253239293,0.7148162551582611,0.024524772532392918,0.7338188671786898,0.02232356588630101,0.3929593563079834,0.0521358159727485
SVC,0.7423282450873943,0.015757619397529267,0.7061386268109184,0.019413522694673183,0.7061386268109184,0.019413522694673255,0.7336182969915731,0.017736787373316337,2.687039017677307,0.29149374114009297
LinearSVC,0.734808711758319,0.027971112562309615,0.7149889547990458,0.0312861393053431,0.7149889547990458,0.031286139305343096,0.7330621488888378,0.028662164906753416,47.64145038127899,5.212096417520993
LinearDiscriminantAnalysis,0.7348150986779076,0.0237325636507259,0.7126437487757782,0.02542287195152994,0.7126437487757783,0.025422871951529955,0.7322215862095988,0.023905488918517286,1.1730109930038453,0.5364527085347103
KNeighborsClassifier,0.724700347022631,0.018555930707979545,0.7008308591770971,0.023426811024415007,0.7008308591770971,0.023426811024414986,0.7214116136848316,0.020131830848285896,0.16214570999145508,0.029251820614484413
DecisionTreeClassifier,0.7021587788209747,0.026666001809962495,0.6833894351760964,0.03031491413415974,0.6833894351760964,0.03031491413415978,0.7010943159350138,0.027193386582538247,1.9335225820541382,0.2492134873744896
SGDClassifier,0.6998562943092546,0.02424356559239539,0.6832240602040246,0.024939272471235684,0.6832240602040246,0.02493927247123567,0.6994504798383172,0.023973114528026966,0.5443326711654664,0.10200547835883833
AdaBoostClassifier,0.7063975644546635,0.0248904764567386,0.6709158067383922,0.027706724773195586,0.6709158067383922,0.02770672477319557,0.698063333410151,0.02634500763420371,9.46009271144867,0.2735802943163864
ExtraTreeClassifier,0.6975889378552724,0.017029623526842685,0.6812387512786316,0.020248941435668365,0.6812387512786316,0.020248941435668404,0.6972639764803832,0.0172299443886406,0.11117165088653565,0.0022007477514587944
Perceptron,0.6868110110493709,0.03457579637194173,0.6720768717610639,0.040844020091524394,0.6720768717610639,0.04084402009152441,0.6867139491141632,0.03512269423122702,0.22634377479553222,0.03754889268636899
PassiveAggressiveClassifier,0.6854953056141023,0.022326488550794964,0.6698383951488998,0.020175301437263028,0.6698383951488999,0.02017530143726299,0.6852959055164465,0.0208924447786234,0.29674248695373534,0.04997612816740537
CalibratedClassifierCV,0.6923676310915245,0.00971649750895488,0.6188962540397597,0.011830075294934947,0.6188962540397597,0.011830075294934954,0.6485158426469233,0.013952853966622486,161.66220128536224,11.211230017036982
QuadraticDiscriminantAnalysis,0.6417502288646186,0.04637770928231405,0.6586163897090161,0.04627537791919665,0.6586163897090161,0.04627537791919667,0.6453993113758122,0.04640382717704138,1.2081718444824219,0.211490655052273
NearestCentroid,0.6123523024845117,0.024777041522766805,0.6025132911572,0.0248143211046019,0.6025132911571999,0.0248143211046019,0.6150235132781213,0.02403108052492412,0.1592794895172119,0.02299567043464223
BernoulliNB,0.6002597347299398,0.0272546254141944,0.5931091603608627,0.0282644323590408,0.5931091603608627,0.02826443235904082,0.6038738631607335,0.02658413109931139,0.14169375896453856,0.0026929510496062916
LabelSpreading,0.6113665878946584,0.021026049657112265,0.6688444269292151,0.020086606281007138,0.6688444269292151,0.02008660628100714,0.5980479232825411,0.023442180683306394,0.8634815692901612,0.13340482011047153
LabelPropagation,0.6113665878946584,0.02085605416739801,0.6690007760636301,0.01996467078490347,0.6690007760636301,0.019964670784903455,0.5979276801123614,0.023288476195356417,0.6587822914123536,0.10636661643835067
GaussianNB,0.5297151433863447,0.03814123209542936,0.5967306356696696,0.030648598594929757,0.5967306356696696,0.030648598594929737,0.49678496585672594,0.053982871043602894,0.13022971153259277,0.017192553206880578
DummyClassifier,0.6133252432351878,0.00142452189917275,0.5,0.0,0.5,0.0,0.46632699467682903,0.0017538342074062139,0.09585001468658447,0.006192085564204951
