,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.7661727448851419,0.020119238389472268,0.7463106776658144,0.022089251613581634,0.7463106776658144,0.022089251613581627,0.7640588071396955,0.02023673194047717,1.1247096538543702,0.07320853287009219
XGBClassifier,0.758658533989057,0.018763927124780953,0.7370923461998641,0.023528179132471204,0.7370923461998641,0.023528179132471218,0.7560262413836466,0.020024545365460646,1.7371702194213867,0.09077392742699236
RandomForestClassifier,0.75997743288412,0.02953142097236387,0.7338033667717488,0.03431710735359433,0.7338033667717488,0.0343171073535944,0.7555786871372991,0.03141823426703351,1.9955434799194336,0.22066974162322933
NuSVC,0.7563773392092994,0.028408278526750007,0.7273862269229889,0.03439784224665475,0.7273862269229889,0.034397842246654736,0.7508477508251606,0.030942880358638545,1.8704201698303222,0.2696305646653863
LGBMClassifier,0.7514828298311724,0.02227413939291685,0.7271805335582091,0.025930288415227393,0.7271805335582091,0.025930288415227362,0.7479375478636753,0.02322031607872373,1.5168447494506836,0.25975353841078136
SVC,0.7504992442145153,0.022832500124248208,0.7137156711683132,0.02738554213356319,0.7137156711683132,0.027385542133563152,0.7414614379046711,0.025311975580499958,1.7272223234176636,0.33541587905539977
KNeighborsClassifier,0.7367854633710161,0.019844680092396105,0.7112681849450267,0.023041229862166206,0.7112681849450266,0.023041229862166154,0.7329592079142221,0.020841092517435184,0.11635720729827881,0.04047028026694002
LinearDiscriminantAnalysis,0.7315492537948948,0.015127569984428513,0.7049717936546812,0.01853388352063191,0.7049717936546811,0.018533883520631917,0.7272570736685946,0.01614896059044916,0.3983622550964355,0.1503743294343221
RidgeClassifier,0.7318717932341232,0.01835646653309122,0.7038199473147289,0.02145981622743544,0.703819947314729,0.02145981622743549,0.7270070336457186,0.019218309403173973,0.17042133808135987,0.06972350562718309
RidgeClassifierCV,0.7305603457452471,0.018995881271293206,0.70195871696874,0.023483745041629672,0.7019587169687401,0.023483745041629665,0.7253935717683639,0.020561381751259683,0.46092710494995115,0.33457687916096046
LinearSVC,0.7292552851759597,0.01948105096512595,0.7040061736591827,0.025804477717119915,0.7040061736591827,0.025804477717119908,0.7253790048437869,0.021723796581158483,21.72212700843811,2.699132139952446
LogisticRegression,0.7276287496540419,0.014624977932268968,0.7034766417795522,0.01683693693489557,0.7034766417795522,0.01683693693489555,0.7243287643540254,0.014934528631077934,0.3842517852783203,0.18784373357881878
BaggingClassifier,0.7178503757637691,0.032360459132454715,0.7039926469555137,0.03518719903197916,0.7039926469555137,0.03518719903197921,0.7179883455350796,0.03248203033408659,2.85397047996521,0.28804802736948926
ExtraTreeClassifier,0.6985629430925464,0.0215668377751101,0.6815590324908116,0.022186065626335766,0.6815590324908116,0.022186065626335766,0.6983172439587254,0.021344668166392085,0.07457993030548096,0.005073004837956736
DecisionTreeClassifier,0.6975910668284686,0.028054307481661316,0.6787421687686319,0.02731579176037232,0.6787421687686319,0.027315791760372358,0.6966755261136184,0.027092911235996955,0.44982166290283204,0.04637546482426612
LabelSpreading,0.6881288454578357,0.02942185104915282,0.7142550656954254,0.032003776929668985,0.7142550656954254,0.032003776929668985,0.6906893427940923,0.029065916831462934,0.8474417686462402,0.18493135043637288
LabelPropagation,0.6878020480722148,0.02909812068171119,0.713987686016281,0.031761996163964516,0.713987686016281,0.03176199616396452,0.6903532476567241,0.02873117151839998,0.5996144533157348,0.15382248211486177
SGDClassifier,0.6825615805497008,0.013979456502440354,0.6617799991845409,0.01753692891813385,0.6617799991845409,0.01753692891813387,0.6810601473054161,0.014726040267330097,0.44132299423217775,0.08784752495869466
Perceptron,0.6769889932085755,0.020937203373513093,0.6573773360768758,0.024945523919872137,0.6573773360768758,0.024945523919872162,0.6756726710127544,0.021934577756011837,0.14270081520080566,0.028418008614303165
CalibratedClassifierCV,0.7021577143343765,0.02279227882403885,0.6390123667406181,0.024328523812884903,0.6390123667406182,0.024328523812884903,0.6715887401837061,0.02466724970052848,77.39473218917847,6.038843563764956
PassiveAggressiveClassifier,0.6603585190862447,0.034266898571565924,0.6424298877338694,0.027513991192427912,0.6424298877338693,0.027513991192427898,0.6596379164376394,0.031508654279134254,0.1460256814956665,0.0236158067658067
AdaBoostClassifier,0.6757094803176428,0.023345668155174703,0.624750134784924,0.026535864426489603,0.624750134784924,0.026535864426489614,0.6546989202032936,0.02660073849643646,2.564809274673462,0.4764311084560242
NearestCentroid,0.619206531689766,0.019162251781750846,0.6023163860174107,0.024587074119925206,0.6023163860174107,0.024587074119925213,0.6197693590044883,0.020410031805843627,0.1155322790145874,0.0213195680282437
BernoulliNB,0.6077707521662302,0.026977997244912406,0.5950389712322001,0.032640597032998715,0.5950389712322001,0.03264059703299873,0.6098773414295617,0.027814824617613317,0.11297817230224609,0.028913402210983343
DummyClassifier,0.6133252432351878,0.00142452189917275,0.5,0.0,0.5,0.0,0.46632699467682903,0.0017538342074062139,0.06457331180572509,0.006945101324933204
GaussianNB,0.4990153498967448,0.03329808579481525,0.5778068461099156,0.027438113840710127,0.5778068461099156,0.027438113840710075,0.4463128507290789,0.049530831864031816,0.08990411758422852,0.017411761262176223
QuadraticDiscriminantAnalysis,0.4702742117476741,0.014171667904426576,0.5527886153641866,0.016154586330023625,0.5527886153641866,0.01615458633002358,0.40520229723515966,0.030611919953728455,0.42207775115966795,0.1391621838572823
