,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
LGBMClassifier,0.7494986268122885,0.021974941678355182,0.7253985418709332,0.023831014012140453,0.7253985418709332,0.023831014012140442,0.7461614549301491,0.02248266101543815,4.581934857368469,0.3434029679279377
RandomForestClassifier,0.7485299440080049,0.027162772990958692,0.7228929541852475,0.030290355270265634,0.7228929541852475,0.030290355270265627,0.7445334948243084,0.02812648073078216,4.897959113121033,0.2669248535169005
ExtraTreesClassifier,0.7465606438014946,0.02011017395442618,0.72439639151074,0.022232918257168503,0.72439639151074,0.022232918257168454,0.7438740050739072,0.020336704139246826,1.193817687034607,0.04297794490632172
NuSVC,0.738411998892934,0.01636757710932289,0.710122048196389,0.01868015400298617,0.710122048196389,0.018680154002986237,0.7335009303850543,0.01722533493180288,1.4978835344314576,0.06767284984004517
XGBClassifier,0.7364405697132274,0.020521419441613863,0.7111578500199871,0.024881153773479905,0.7111578500199871,0.024881153773479894,0.7326570780328526,0.02196499365712813,7.95968177318573,0.5813491824860015
BaggingClassifier,0.7302473866854016,0.02575818875315059,0.7162665430070662,0.029295882777633665,0.7162665430070662,0.02929588277763366,0.7302135405900111,0.026509156523150668,9.688110256195069,0.34637240539003555
QuadraticDiscriminantAnalysis,0.7178248280854145,0.011303293323353324,0.685681505497324,0.015680141451606313,0.685681505497324,0.01568014145160628,0.7110019767707022,0.013043436191840787,0.38827497959136964,0.1400276952626254
SVC,0.7217549126056503,0.020117987183866218,0.681278191537573,0.02237289494357729,0.681278191537573,0.022372894943577266,0.7105239206927079,0.02145841111287515,1.3046523094177247,0.08688543814778948
LinearSVC,0.7126173596474421,0.024587020303436184,0.6810233708931233,0.03022060643696524,0.6810233708931234,0.030220606436965308,0.7059906096526285,0.027230121921697666,3.8994423389434814,0.988247838854466
RidgeClassifier,0.712280981882438,0.024308732557594866,0.6785550195228076,0.027825293301817936,0.6785550195228076,0.027825293301817915,0.7047450974637688,0.026061479253917063,0.12604987621307373,0.048919534501343134
LogisticRegression,0.7080421962487492,0.0327427193087377,0.6779175357321239,0.03680621913070024,0.6779175357321239,0.03680621913070024,0.7023013696808017,0.03447807840821112,0.2181603193283081,0.059540072091298496
KNeighborsClassifier,0.7086936620467948,0.01220357884826356,0.6767381642031628,0.015413259529424864,0.6767381642031628,0.015413259529424858,0.7021190105692601,0.013554225271783066,0.07536015510559083,0.00630794198243721
RidgeClassifierCV,0.7093483213046348,0.027454067712179394,0.6758565523380122,0.032016754485772715,0.6758565523380122,0.032016754485772694,0.7019195129586424,0.02950922547708792,0.48602895736694335,0.42830306502376936
LinearDiscriminantAnalysis,0.7021641012539652,0.019559401780380223,0.6690595869203663,0.023702703002357113,0.6690595869203663,0.023702703002357106,0.6950231469706193,0.021827103866226338,0.2602591276168823,0.06414894358426926
DecisionTreeClassifier,0.6916831662089374,0.03644031281130275,0.6757641864404025,0.039045186478496204,0.6757641864404025,0.03904518647849622,0.6917003861762131,0.03649453220307727,1.5091129541397095,0.13629687815109637
ExtraTreeClassifier,0.6894253901343382,0.021530961208968396,0.6715779368167947,0.023981255393511668,0.6715779368167947,0.023981255393511675,0.6888408770936617,0.021792888171347932,0.05831611156463623,0.010890838114163375
AdaBoostClassifier,0.69432841540525,0.025429688062009195,0.6570231657886247,0.02909987132291176,0.6570231657886247,0.02909987132291179,0.6847399889946781,0.02738047222955748,7.191956901550293,0.23033419719045387
CalibratedClassifierCV,0.7054310106235763,0.0188613289417755,0.6467384596693478,0.023253904687115683,0.6467384596693478,0.023253904687115683,0.6792754837458876,0.023710412524383457,14.705841612815856,5.193352524086356
Perceptron,0.6571065125290072,0.02828149111948046,0.6343081111735256,0.025793352557044822,0.6343081111735256,0.02579335255704481,0.6552002999631583,0.026695655091944284,0.1259331226348877,0.03327306903337415
SGDClassifier,0.6557833556875519,0.03413873860997396,0.6346563962437088,0.036248208306250265,0.6346563962437088,0.03624820830625027,0.6536303854196499,0.03379774232001085,0.33600213527679446,0.048318054266441535
PassiveAggressiveClassifier,0.6515498924868536,0.03682247715039487,0.6333707292050348,0.03657484339804541,0.6333707292050348,0.03657484339804541,0.6512649587855864,0.03592844033899897,0.13133952617645264,0.04391532451057157
GaussianNB,0.6312852611185625,0.02830084374864009,0.5937270359410853,0.031111456616828292,0.5937270359410853,0.031111456616828303,0.6218850795014265,0.029887066411570098,0.05304300785064697,0.002488680279581611
NearestCentroid,0.5963381661024887,0.0222217507664387,0.5897684536883959,0.02222494634074977,0.589768453688396,0.0222249463407498,0.600187610565133,0.02165597508908332,0.08193254470825195,0.01607053176851965
BernoulliNB,0.5904653935406954,0.026078766020566163,0.581543002244992,0.026368292886521382,0.581543002244992,0.026368292886521403,0.5941267433541075,0.025419429731465486,0.08139603137969971,0.017750716814580125
LabelSpreading,0.582310361712546,0.02762898528282697,0.6473282315253741,0.02551015489648911,0.6473282315253741,0.025510154896489105,0.5599877108808233,0.032726722995748615,0.5418405294418335,0.05765448961955544
LabelPropagation,0.5816578314279023,0.028126853574110374,0.6467948943994213,0.0259988286554248,0.6467948943994213,0.02599882865542481,0.5591485006283861,0.03329163067720104,0.3469690799713135,0.014502577186840242
DummyClassifier,0.6133252432351878,0.00142452189917275,0.5,0.0,0.5,0.0,0.46632699467682903,0.0017538342074062139,0.04701435565948486,0.007494996860508591
