,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.8083464630549833,0.01837566046205112,0.7815308332155457,0.019395884799815532,0.7815308332155457,0.019395884799815515,0.8043943007208643,0.01835330613250719,1.1811999797821044,0.25312848146375644
RandomForestClassifier,0.8029551973498161,0.015155499524452887,0.7710308163252606,0.017516546448786613,0.7710308163252606,0.01751654644878662,0.797223607631634,0.01568814953905529,3.5257253646850586,0.274916266308051
NuSVC,0.7988991233385853,0.01530444608510979,0.7691621729618537,0.01663864684306539,0.7691621729618537,0.016638646843065322,0.7940003962284378,0.015617549652859592,1.3832913398742677,0.18335601933302115
XGBClassifier,0.795725770613663,0.030234741096050347,0.7699715909848548,0.03442365150186994,0.7699715909848548,0.034423651501869934,0.7919979417272816,0.03118145509371539,8.39306881427765,0.513217204590667
LGBMClassifier,0.795747990142609,0.01902923801288279,0.7691004434144334,0.018937072369457734,0.7691004434144333,0.01893707236945777,0.79185443187557,0.01851668655636652,5.883590412139893,0.38806392268353157
KNeighborsClassifier,0.7889912333858522,0.03421982712235846,0.7676898423603018,0.03678004670828527,0.7676898423603018,0.03678004670828529,0.7867922522485035,0.034552221459734196,0.10856115818023682,0.016994405020176573
BaggingClassifier,0.786298630469034,0.02361341795336363,0.7539157437014794,0.025485547121340834,0.7539157437014794,0.025485547121340817,0.7802833117666547,0.024116320264793843,10.154293537139893,0.40272881145002554
SVC,0.7858542398901143,0.023538884253943463,0.7499729933230036,0.02580386767417787,0.7499729933230036,0.025803867674177857,0.7784711135757789,0.024518708028813722,1.2040478229522704,0.06749391048783204
RidgeClassifier,0.7741384882640487,0.03505439249881389,0.7537129980522834,0.033571713292645015,0.7537129980522834,0.03357171329264504,0.7723481389176607,0.03418709904700802,0.20492033958435057,0.05602530295967383
RidgeClassifierCV,0.7741384882640487,0.039128447271807816,0.752140448054817,0.039987129819488695,0.752140448054817,0.039987129819488834,0.7717547771106774,0.03892501642253753,0.82691490650177,0.1051882306689519
LogisticRegression,0.7647113481194199,0.02610092616220377,0.7458730966204318,0.02608180470423762,0.7458730966204318,0.026081804704237623,0.7633640375595423,0.025459696771652243,0.2939694881439209,0.047445421184391746
LinearSVC,0.7611037046014625,0.032444426163725594,0.7447599379326468,0.03237723201060209,0.7447599379326469,0.03237723201060209,0.760526353952234,0.03167676016965712,24.855978298187257,2.6306529452696648
LinearDiscriminantAnalysis,0.74581262877227,0.038517161065431654,0.7326447764126278,0.03905879651102937,0.7326447764126278,0.039058796511029344,0.7462980380886471,0.03796123557084023,0.7745449781417847,0.08802700558244246
AdaBoostClassifier,0.7435866359633175,0.016198640455994045,0.7063098305015437,0.018913291624918564,0.7063098305015437,0.0189132916249186,0.7351512214023086,0.017484917481904234,6.953598356246948,0.324232351490385
SGDClassifier,0.7336545065244617,0.03509096192331338,0.71963459868238,0.03417014495809363,0.71963459868238,0.03417014495809368,0.7339346230670881,0.033923803100158446,0.3512744665145874,0.07055672367347096
Perceptron,0.7251383670666182,0.028024011702282157,0.7047524284229719,0.02776939751136229,0.7047524284229718,0.027769397511362315,0.7234728716772751,0.02691141256713287,0.1990276336669922,0.03232734831838409
PassiveAggressiveClassifier,0.7215468832060761,0.02018781096013917,0.706028842828785,0.02288951977313835,0.706028842828785,0.02288951977313839,0.7213433352889409,0.020004070899379046,0.24717836380004882,0.04375526853065428
DecisionTreeClassifier,0.7161414778006706,0.031208857786087504,0.7022888869924359,0.03385444460786011,0.7022888869924357,0.033854444607860135,0.7168093972616731,0.03137153788914809,1.443903636932373,0.2052709464317891
ExtraTreeClassifier,0.7165899082939442,0.028150247113104446,0.6979008886956877,0.027777592671470334,0.6979008886956877,0.027777592671470362,0.7160050587256379,0.027379605808551786,0.09297435283660889,0.019513314084082974
CalibratedClassifierCV,0.7319011836949058,0.020221965730693348,0.6661113029788239,0.025653169513146692,0.666111302978824,0.02565316951314669,0.7029487375958805,0.026644092379062755,74.53935997486114,5.3760442653718465
QuadraticDiscriminantAnalysis,0.7210822930553873,0.020564871429284454,0.6526774413351504,0.02426055078493277,0.6526774413351504,0.024260550784932777,0.6895221042489084,0.02541691130094685,1.1030848741531372,0.32128465470480605
LabelSpreading,0.7134407950551449,0.026610269780183732,0.6340306709799122,0.03109296177952111,0.6340306709799121,0.03109296177952111,0.6684274437701511,0.03457082189719741,0.505357313156128,0.074623889848323
LabelPropagation,0.7134407950551449,0.026610269780183732,0.6340306709799122,0.03109296177952111,0.6340306709799121,0.03109296177952111,0.6684274437701511,0.03457082189719741,0.41554937362670896,0.07079477850130575
BernoulliNB,0.6639680038783178,0.040095150090138316,0.63932323961003,0.04044610865326915,0.63932323961003,0.04044610865326915,0.6617404969931975,0.03939323418347271,0.11591310501098633,0.019195517855977184
NearestCentroid,0.6581000282794005,0.04315046649367479,0.6354473658711342,0.04394484787615867,0.6354473658711343,0.04394484787615866,0.6566319489435687,0.0422190485203803,0.12939164638519288,0.020602165129708434
DummyClassifier,0.6194340079990305,0.00200904349138476,0.5,0.0,0.5,0.0,0.47386910911349134,0.0024860662287085975,0.07970688343048096,0.012296367716842678
GaussianNB,0.4286894517836222,0.01758317527001487,0.5322524462022195,0.016256183712276943,0.5322524462022195,0.01625618371227692,0.3230112606297104,0.02643044180715491,0.1018291711807251,0.016247571431586186
