,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.8029511574354624,0.016500113065575334,0.7740334000944078,0.01704832617735632,0.7740334000944078,0.0170483261773563,0.7982879879652464,0.016507287503429814,0.8289562225341797,0.15719201815075512
RandomForestClassifier,0.7979982224376843,0.01782282302619136,0.7638580433760302,0.020824104564883605,0.7638580433760301,0.020824104564883605,0.7914000024639141,0.01891238268249648,1.3457301378250122,0.17560545210459486
XGBClassifier,0.79438855896255,0.0255659042761949,0.7700142167308053,0.026433618544898473,0.7700142167308053,0.02643361854489846,0.791323084797957,0.02560597479905665,2.1387746810913084,0.8676210768362937
LGBMClassifier,0.7944067385771422,0.02300902444523299,0.7680081975665544,0.023477745451877616,0.7680081975665544,0.023477745451877623,0.7906073090830222,0.02271757254585043,1.3598023414611817,0.2086818701182825
NuSVC,0.794408758534319,0.02496299514536899,0.7637377245407843,0.030582673910137654,0.7637377245407843,0.03058267391013767,0.7889345127339901,0.026970681854629565,0.7725763082504272,0.02704108464103798
KNeighborsClassifier,0.7885731022502322,0.019668647679253626,0.7646806313766382,0.024676505497302357,0.7646806313766382,0.024676505497302322,0.7854484254377784,0.02092223010588244,0.07197375297546386,0.023897281722052407
SVC,0.7804589342705934,0.02406222488954564,0.7417512869952805,0.028320521950673392,0.7417512869952805,0.028320521950673375,0.7716795409278265,0.026204544509523323,0.748205304145813,0.09622775883851878
BaggingClassifier,0.7696642831171979,0.01795043355255781,0.735063367460599,0.02347383923533161,0.735063367460599,0.023473839235331594,0.7625541765564904,0.020090851567821866,2.0043212175369263,0.06906948056778169
RidgeClassifierCV,0.7655960893629056,0.03189941148452579,0.7354913984000455,0.03428803719388195,0.7354913984000455,0.03428803719388192,0.7602899919463939,0.03306915888476007,0.3739490032196045,0.21487761237160655
RidgeClassifier,0.7597462933785804,0.026255563659552787,0.7314773665734146,0.0283712628674557,0.7314773665734144,0.02837126286745568,0.7550244912008195,0.02704924945997067,0.15810320377349854,0.04090971126236005
LinearDiscriminantAnalysis,0.7561507696036844,0.027955169437756645,0.7285568762573262,0.02856620717676127,0.7285568762573261,0.028566207176761248,0.7518289606233355,0.02808505655803467,0.2695065259933472,0.012726928205752386
LinearSVC,0.7534581666868663,0.023228209748888638,0.7281997934051436,0.024062956766024747,0.7281997934051436,0.02406295676602476,0.74999865473199,0.02334895903614312,11.666666841506958,1.3330855964973878
LogisticRegression,0.7498586029976164,0.025318041600132624,0.7227775718348273,0.027706862289683113,0.7227775718348273,0.02770686228968316,0.7458294204906462,0.026074380909384843,0.2136996030807495,0.08475077391341337
LabelPropagation,0.7530157960651234,0.025712570837406926,0.703768415966831,0.02909220767033373,0.703768415966831,0.02909220767033372,0.7382530856157841,0.0281942510434722,0.3255336046218872,0.03378268575370774
LabelSpreading,0.7530157960651234,0.025712570837406926,0.703768415966831,0.02909220767033373,0.703768415966831,0.02909220767033372,0.7382530856157841,0.0281942510434722,0.41476049423217776,0.034990182095564336
DecisionTreeClassifier,0.7314184139296247,0.031743228675372125,0.7116779653784713,0.02998760456755883,0.7116779653784713,0.029987604567558807,0.7302445452979918,0.030531216784352645,0.3811635494232178,0.07530398139226183
ExtraTreeClassifier,0.7282834403910637,0.014653270520907574,0.7142500891184783,0.017391170299844442,0.7142500891184783,0.01739117029984447,0.7285101288297992,0.014664241073348228,0.06181609630584717,0.008491604659403492
CalibratedClassifierCV,0.7453823778935886,0.019687587807220613,0.6868098162781456,0.02586190265103403,0.6868098162781456,0.025861902651034024,0.7232465502101163,0.025967381653366196,38.42091250419617,1.618964761116291
AdaBoostClassifier,0.7310063426655355,0.019581472235417046,0.6854489393345405,0.023586889237872638,0.6854489393345405,0.023586889237872635,0.7178313953523648,0.022514226334596526,1.7364787578582763,0.19722253770582007
SGDClassifier,0.7179271199450572,0.027324434005810028,0.6950638652795298,0.02639924280420119,0.6950638652795298,0.026399242804201185,0.7157829031837787,0.026506473897897027,0.21880924701690674,0.03266663806319356
Perceptron,0.6936250151496788,0.03937219733797348,0.6746055607263534,0.03898350209038614,0.6746055607263534,0.03898350209038611,0.6932570874833339,0.03844256251318649,0.11077864170074463,0.01715624943945949
NearestCentroid,0.6738354946875126,0.04120185993620036,0.6730000813400575,0.036311067659275525,0.6730000813400574,0.03631106765927552,0.6774326012041303,0.040088045251038734,0.08296434879302979,0.01583480797709031
PassiveAggressiveClassifier,0.6737930755867976,0.0398245607641433,0.6549811873337085,0.03899399446059051,0.6549811873337085,0.03899399446059052,0.6732747565772927,0.038663596527504264,0.10588140487670898,0.021988633515954946
BernoulliNB,0.6477760271482245,0.030638525082960576,0.6428832605717628,0.02987531482753603,0.6428832605717628,0.029875314827536005,0.6509579286254379,0.02998722697132549,0.08259811401367187,0.016442979884773043
DummyClassifier,0.6194340079990305,0.00200904349138476,0.5,0.0,0.5,0.0,0.47386910911349134,0.0024860662287085975,0.053516173362731935,0.007583984218468051
QuadraticDiscriminantAnalysis,0.4728012766129358,0.028008273366319274,0.5570049524093992,0.02702126997259043,0.5570049524093992,0.027021269972590453,0.4148259596878928,0.04053105793996095,0.29244089126586914,0.08414337917881012
GaussianNB,0.4264351795741931,0.01889165410161334,0.5311123808457054,0.01718232787772879,0.5311123808457054,0.01718232787772879,0.31724890151908763,0.029004975309482022,0.06271562576293946,0.008642439926908451
