,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,ROC AUC,ROC AUC,F1 Score,F1 Score,Time Taken,Time Taken
,mean,std,mean,std,mean,std,mean,std,mean,std
Model,,,,,,,,,,
ExtraTreesClassifier,0.8007069850119178,0.01829072134585301,0.7712646134302659,0.02194320176181274,0.7712646134302659,0.02194320176181274,0.7957692825737178,0.019129916072713023,0.9341380357742309,0.22316977059928086
RandomForestClassifier,0.798006302266392,0.019872013542257965,0.7656898103576563,0.0254748504138272,0.7656898103576563,0.025474850413827216,0.7918164797445728,0.021766435206248224,3.508733367919922,0.26485245596605594
XGBClassifier,0.794849109198885,0.021150255581600018,0.7669406315366515,0.024855437197769312,0.7669406315366515,0.024855437197769257,0.7905373990508769,0.02217655756364857,6.041419720649719,0.64539554099548
LGBMClassifier,0.7890013331717368,0.01916711253683041,0.7611139787555772,0.023281235245049024,0.7611139787555772,0.02328123524504898,0.7846449696955711,0.020170179296082794,4.336548805236816,0.3716762498849406
NuSVC,0.782705126651315,0.01672738993320426,0.755171000802733,0.01728551314765634,0.755171000802733,0.017285513147656317,0.7785161434626484,0.01658001780648895,0.7306204080581665,0.09806906825687747
BaggingClassifier,0.7746252979436836,0.01668665365648296,0.7413010364412347,0.021678890493543046,0.7413010364412347,0.021678890493543008,0.7681837892623185,0.018515576645907226,6.969520735740661,0.22717295759985456
KNeighborsClassifier,0.7655960893629056,0.03171022425381456,0.7465303509534567,0.02994672913209738,0.7465303509534567,0.02994672913209738,0.7643204744237038,0.030674937117146004,0.05790755748748779,0.010999067664838278
SVC,0.767864501272573,0.018247817195611988,0.7290336690055267,0.022744600662675384,0.7290336690055267,0.02274460066267541,0.7589158510007038,0.020489786197046795,0.6861428260803223,0.10815709102417283
RidgeClassifier,0.7413384236254192,0.028236100245016504,0.7165388938818943,0.03145177296558642,0.7165388938818943,0.03145177296558648,0.7382923814636668,0.028845250817759172,0.122745943069458,0.06890271998477293
RidgeClassifierCV,0.7422272047832587,0.028429141438627837,0.7138196935391103,0.03046643318816843,0.7138196935391103,0.030466433188168444,0.7379096869859639,0.02878135870840907,0.3855938673019409,0.23109436745634188
LinearSVC,0.7373005292287804,0.027155687721294505,0.7144127470093083,0.03049554146732492,0.7144127470093083,0.030495541467324937,0.7350148223472336,0.02775772808124155,2.1319554328918455,0.9620386904007155
LogisticRegression,0.7341392962469195,0.030519682134167562,0.7088941574725733,0.0337770280247383,0.7088941574725733,0.03377702802473832,0.7308492118248152,0.03111617267508271,0.1906888723373413,0.05541435351120864
QuadraticDiscriminantAnalysis,0.7323415343594716,0.022397804512174675,0.7094334687223032,0.02008434396136378,0.7094334687223033,0.020084343961363767,0.7302927173933194,0.02112943070724105,0.3143704891204834,0.10743696594671155
AdaBoostClassifier,0.7350280774047591,0.03408287743948408,0.6972005063529696,0.03575209678994217,0.6972005063529696,0.03575209678994217,0.7265552867976061,0.034791883167139874,5.325140070915222,0.32680502320293947
LinearDiscriminantAnalysis,0.7251484668525027,0.021545350967272427,0.7064388856145442,0.026059999682455603,0.7064388856145442,0.026059999682455582,0.7242909305002752,0.02234302146968226,0.21923115253448486,0.048599664612644
DecisionTreeClassifier,0.7134448349694986,0.036380791195390234,0.697832156347147,0.03932458079463243,0.6978321563471469,0.03932458079463245,0.7137126917526394,0.03633919664390749,1.1209160089492798,0.10716259996656113
ExtraTreeClassifier,0.7008079828707631,0.03653856906613325,0.6851167363168689,0.03224924560057618,0.6851167363168689,0.03224924560057616,0.7013373552925918,0.034785401156445114,0.05235800743103027,0.009635937438711828
CalibratedClassifierCV,0.7197450814042743,0.03250455975770877,0.6638124329389007,0.03680950767527288,0.6638124329389007,0.03680950767527286,0.6989505100803359,0.03657998824871902,7.103692078590393,0.9539559821723124
GaussianNB,0.6945400557508181,0.03366123460384374,0.657349260872232,0.03924008030335198,0.657349260872232,0.03924008030335196,0.6844370605222772,0.035235933081445965,0.04819567203521728,0.010465615173451485
SGDClassifier,0.6738758938310507,0.03451067584584954,0.6580094354466637,0.04120745815160097,0.6580094354466637,0.04120745815160098,0.6734908685661471,0.034734189719133314,0.25172746181488037,0.048583581017473045
PassiveAggressiveClassifier,0.6617743303841959,0.039543907151700204,0.6371695104573089,0.04307782449835023,0.6371695104573089,0.04307782449835026,0.6586418703707186,0.03868910478533928,0.09652247428894042,0.018819308597677803
BernoulliNB,0.6617399911121884,0.052217088530566134,0.62843483283507,0.05768868442962629,0.62843483283507,0.05768868442962627,0.6551604056895557,0.05410455592260936,0.07096333503723144,0.018332037533408067
Perceptron,0.6518260412879247,0.051540152025598716,0.6335181397217726,0.06169804327026798,0.6335181397217726,0.061698043270268,0.6517122161184504,0.05264626865772264,0.09017560482025147,0.020697412873183822
LabelSpreading,0.6945501555367026,0.012237526014148499,0.6085245646973483,0.015120150303101546,0.6085245646973483,0.015120150303101494,0.6388701126995475,0.01861704297584222,0.31502656936645507,0.07475605816497151
LabelPropagation,0.6940997050862522,0.011984381133633782,0.6079293266021103,0.014784619439616484,0.6079293266021102,0.014784619439616443,0.6381787912902189,0.018137595631260314,0.22209603786468507,0.05915629830063927
NearestCentroid,0.6288954874156667,0.047196134530467886,0.5970877348082997,0.05249398090599484,0.5970877348082997,0.052493980905994844,0.6236904780961874,0.04823821348621119,0.0729024887084961,0.020777941870354172
DummyClassifier,0.6194340079990305,0.00200904349138476,0.5,0.0,0.5,0.0,0.47386910911349134,0.0024860662287085975,0.04488935470581055,0.008435918690706303
